#lon lat ve vn vu se sn su corr corr corr name
170.59720 -45.88370 -29.15229 -12.99568 -1.47213 0.29411 0.25663 0.42831 0 0 0 dund
170.51090 -45.86950 -28.84671 -12.80678 -0.81709 0.17385 0.19720 0.23244 0 0 0 ousd
174.83439 -36.60280 0.53752 -0.71336 -0.64762 0.08279 0.14135 0.29042 0 0 0 auck
174.80590 -41.32348 -23.52804 -7.55301 -2.23657 0.31791 0.26593 0.31969 0 0 0 wgtn
172.65470 -43.70271 -32.21965 -11.13725 -1.39061 0.26664 0.32926 0.48100 0 0 0 mqzg
169.30825 -45.23100 -28.28599 -13.21404 -0.76030 0.57230 0.32119 0.37726 0 0 0 lexa
174.66279 -36.43440 0.30628 -0.58366 -0.97347 0.24281 0.21557 0.32173 0 0 0 wark
174.31460 -35.80380 0.55392 -0.28610 -0.74413 0.13786 0.10504 0.38330 0 0 0 whng
176.26090 -37.72880 1.47296 -1.53287 0.26282 0.37318 0.21892 0.38167 0 0 0 trng
174.11820 -39.18255 -1.30387 -1.09626 -1.26605 0.23970 0.12551 0.41712 0 0 0 nply
174.85410 -38.51300 -0.61663 -0.65985 -1.28038 0.14222 0.10270 0.46998 0 0 0 maho
173.27310 -35.06890 0.08234 -0.29523 -1.04191 0.18283 0.16916 0.33949 0 0 0 ktia
170.98431 -42.71290 -3.57177 -0.81669 -0.74625 0.17561 0.36605 0.62329 0 0 0 hoki
175.10920 -37.80680 -0.36503 -0.82553 -0.74735 0.11476 0.09233 0.36995 0 0 0 hamt
174.78160 -41.29040 -21.65070 -6.29852 -3.01777 0.58414 0.45587 0.41775 0 0 0 wgtt
171.80621 -41.74472 -2.59694 -0.79755 -1.04224 0.35823 0.21624 0.46535 0 0 0 west
170.92030 -44.65570 -30.23178 -12.77496 -0.97167 0.22212 0.19935 0.44757 0 0 0 waim
173.43371 -41.18350 -5.58229 -0.55805 -2.04492 1.25013 0.18538 0.62861 0 0 0 nlsn
175.58458 -41.06199 -26.12607 -10.80264 -3.37112 0.10799 0.20579 0.64772 0 0 0 mast
172.26631 -42.78339 -21.62933 -9.46982 1.00570 0.46905 0.25613 0.48792 0 0 0 lkta
173.53366 -42.42548 -28.16125 -10.34359 -1.32170 0.20723 0.23167 0.38234 0 0 0 kaik
178.30335 -37.56102 5.05446 -17.58179 -0.24089 0.16274 0.15049 0.38667 0 0 0 hikb
168.78555 -44.07320 -12.54282 -4.49487 1.06982 0.17438 0.12746 0.41614 0 0 0 haas
170.62940 -45.81431 -29.24065 -12.48935 -1.23967 0.15767 0.18335 0.18351 0 0 0 dunt
175.74958 -36.86541 1.32339 -0.57475 -0.36222 0.11365 0.10720 0.33387 0 0 0 corm
168.29209 -46.58508 -26.06558 -13.84170 -0.77762 0.50308 0.21671 0.46296 0 0 0 bluf
183.43416 -43.95579 -33.03105 -0.31603 -0.12813 0.28294 0.21095 0.62379 0 0 0 chat
177.01389 -37.98169 3.79086 -12.45653 -0.91510 0.22506 0.41243 0.49005 0 0 0 whkt
174.82142 -39.78689 -2.73026 -2.15369 -0.51709 0.40102 0.28588 0.36214 0 0 0 wang
176.08100 -38.74271 3.75714 -5.34313 1.33373 0.52037 0.46074 0.55181 0 0 0 taup
169.81582 -43.53168 -7.96581 -2.22731 0.47388 0.15729 0.13869 0.57786 0 0 0 quar
175.25479 -41.56921 -32.87934 -9.44545 -4.43452 0.16383 0.31090 0.45325 0 0 0 pali
172.72220 -43.60580 -32.34441 -11.68570 -1.02503 0.49460 0.51823 0.27945 0 0 0 lytt
172.52956 -40.82660 -2.38798 0.10445 -1.08313 0.43363 0.20764 0.42472 0 0 0 gldb
177.07635 -39.65789 -5.38675 -16.49622 0.49748 1.28790 0.61494 0.55705 0 0 0 ckid
174.93290 -41.19640 -21.33802 -6.44839 -2.03090 1.07918 0.41688 0.47114 0 0 0 avln
174.76990 -36.84360 0.49920 -0.42989 -1.01927 0.33538 0.16653 0.28923 0 0 0 takl
183.38288 -43.73547 -33.80251 -0.50287 -1.42130 0.17995 0.14268 0.48309 0 0 0 chti
175.47046 -39.38458 -1.38671 -2.19601 -0.20452 0.45107 0.30152 0.51020 0 0 0 vgmt
175.68790 -41.39800 -32.89290 -10.07492 -4.56904 0.20759 0.17328 0.38689 0 0 0 trav
174.28010 -41.19160 -13.16380 -2.90812 -1.69483 1.29544 0.79072 0.92111 0 0 0 tory
175.89050 -41.10660 -27.93143 -11.55115 -3.63981 0.22304 0.23652 0.47100 0 0 0 tema
176.49251 -39.16552 1.26802 -11.31474 -0.20129 0.17743 0.16113 0.35708 0 0 0 ripa
176.55626 -37.84589 0.34257 -2.90633 2.74896 0.46262 0.35387 0.59388 0 0 0 rgop
176.72472 -37.91544 1.72899 -5.60808 4.42238 0.18141 1.07993 1.55808 0 0 0 rgmt
178.25740 -38.07140 5.99923 -18.50754 0.70469 0.15721 0.15927 0.35754 0 0 0 puke
176.63520 -40.26640 -16.18787 -14.12207 -2.62678 1.46277 0.40757 0.55388 0 0 0 pora
176.86390 -40.03310 -11.04635 -15.86712 -1.21710 2.40013 0.74671 0.48271 0 0 0 pawa
170.46493 -43.98570 -27.40173 -12.29570 -0.32606 0.14434 0.33011 0.25567 0 0 0 mtjo
177.90700 -39.15258 -2.69532 -20.29710 0.15269 0.51981 0.49035 0.45985 0 0 0 mahi
176.93670 -39.33230 -0.87139 -16.40900 -3.19427 0.21089 0.25228 0.37864 0 0 0 leyl
175.42405 -40.40930 -13.24356 -4.56999 -1.41228 1.55582 1.02808 1.25246 0 0 0 koro
177.66780 -39.01610 -1.13141 -21.03836 -1.51520 0.27603 0.12650 0.41884 0 0 0 koko
174.90980 -40.86090 -15.48039 -3.23402 -1.54279 2.28463 1.11900 0.62522 0 0 0 kapt
176.87630 -39.79380 -8.72851 -13.55807 -1.79226 0.31050 0.35985 0.41668 0 0 0 kahu
176.72658 -39.61701 -5.87055 -13.27900 -4.36885 0.56822 0.28309 0.68337 0 0 0 hast
177.88601 -38.63532 -0.81655 -18.14575 -1.63201 1.91356 0.98118 0.42696 0 0 0 gisb
173.92160 -40.80180 -6.71222 -0.72634 -2.71483 2.28387 0.43964 0.45979 0 0 0 durv
176.16666 -40.29886 -15.32505 -10.10085 -2.61078 0.67030 0.35514 0.42319 0 0 0 dnvk
174.21380 -41.74900 -23.59302 -8.50625 -0.62914 0.47948 0.54498 0.50200 0 0 0 cmbl
176.24610 -40.67980 -25.74433 -10.10462 -4.69469 0.32306 0.36267 0.48752 0 0 0 birf
176.46120 -40.53980 -24.31310 -12.08405 -4.06314 0.51406 0.18126 0.41631 0 0 0 akto
173.98420 -41.56066 -14.00427 -3.84943 -1.49158 1.71003 0.97331 0.57788 0 0 0 with
177.41540 -38.49556 1.84604 -16.30151 0.21656 0.13786 0.23389 0.59126 0 0 0 rawi
177.30760 -38.04650 2.96596 -14.55753 -1.82993 0.18342 0.21179 0.40518 0 0 0 optk
174.06030 -41.01930 -9.88396 -1.02465 -2.11587 2.76347 1.92960 0.70684 0 0 0 okoh
168.11820 -45.36651 -25.35993 -11.73326 -0.33489 1.04291 0.39863 0.43287 0 0 0 mavl
175.24060 -40.58880 -14.57970 -4.10938 -1.13576 2.06741 1.02127 1.21787 0 0 0 levn
177.23440 -39.07720 0.94825 -17.46585 -1.43866 0.21422 0.21615 0.45057 0 0 0 wahu
175.23810 -40.08030 -4.83894 -2.15922 -2.38829 0.44174 0.24584 0.39551 0 0 0 gnbk
166.68071 -46.16619 -23.98481 -12.13095 1.39644 0.74961 0.43123 0.58870 0 0 0 pygr
176.06317 -39.48918 -1.44047 -6.53566 -0.26322 0.18758 0.44474 0.38142 0 0 0 bhst
169.88531 -43.58403 -13.61491 -3.60740 1.34733 0.30564 0.13963 0.44593 0 0 0 waka
175.34641 -39.28927 -0.77301 -2.12229 -0.48800 0.15664 0.24574 0.46483 0 0 0 vgpk
175.88569 -40.77601 -24.59897 -10.35628 -4.80232 0.38103 0.33052 0.65043 0 0 0 tint
176.51462 -38.33889 0.71743 -6.82408 -3.26363 0.13763 0.34656 0.63319 0 0 0 rgrr
175.99928 -40.60108 -23.24145 -10.35479 -3.90881 0.74569 0.61679 0.59588 0 0 0 ptoi
175.42692 -41.38152 -32.54273 -9.70258 -4.82236 0.20170 0.25791 0.40455 0 0 0 parw
177.88330 -38.92260 1.05063 -19.98065 -3.44549 0.63139 0.20527 0.54664 0 0 0 pari
174.95210 -41.02180 -17.87733 -5.03521 -1.25874 1.30067 0.41224 0.37021 0 0 0 paek
175.76132 -40.38542 -16.27225 -7.45377 -1.12302 1.42130 0.76277 1.52315 0 0 0 nrrd
