#lon lat ve vn vu se sn su name
170.59720 -45.88370 -29.15216 -13.06407 -1.20959 0.29405 0.25654 0.42830 dund
170.51090 -45.86950 -28.84660 -12.87497 -0.55457 0.17377 0.19718 0.23243 ousd
174.83439 -36.60280 0.53748 -0.79262 -0.39712 0.08278 0.14129 0.29043 auck
174.80590 -41.32348 -23.52790 -7.62748 -1.97971 0.31785 0.26591 0.31969 wgtn
172.65470 -43.70271 -32.21939 -11.20814 -1.13074 0.26660 0.32905 0.48102 mqzg
169.30825 -45.23100 -28.28558 -13.28320 -0.49854 0.57214 0.32105 0.37727 lexa
174.66279 -36.43440 0.30635 -0.66298 -0.72322 0.24282 0.21552 0.32172 wark
174.31460 -35.80380 0.55394 -0.36620 -0.49476 0.13787 0.10506 0.38329 whng
176.26090 -37.72880 1.46741 -1.57527 0.52051 0.37321 0.21885 0.38167 trng
174.11820 -39.18255 -1.30414 -1.17283 -1.01202 0.23966 0.12550 0.41711 nply
174.85410 -38.51300 -0.61893 -0.73741 -1.02710 0.14223 0.10261 0.46993 maho
173.27310 -35.06890 0.08232 -0.37609 -0.79359 0.18284 0.16919 0.33941 ktia
170.98431 -42.71290 -3.57155 -0.88883 -0.48763 0.17559 0.36595 0.62327 hoki
175.10920 -37.80680 -0.36747 -0.90226 -0.49499 0.11474 0.09229 0.36995 hamt
174.78160 -41.29040 -21.65063 -6.37257 -2.76098 0.58413 0.45601 0.41775 wgtt
171.80621 -41.74472 -2.59687 -0.87108 -0.78487 0.35829 0.21620 0.46536 west
170.92030 -44.65570 -30.23167 -12.84475 -0.71062 0.22198 0.19919 0.44762 waim
173.43371 -41.18350 -5.58231 -0.63230 -1.78826 1.25032 0.18529 0.62860 nlsn
175.58458 -41.06199 -26.12614 -10.87707 -3.11461 0.10805 0.20577 0.64767 mast
172.26631 -42.78339 -21.62935 -9.54182 1.26442 0.46904 0.25609 0.48795 lkta
173.53366 -42.42548 -28.16130 -10.41605 -1.06344 0.20727 0.23185 0.38234 kaik
178.30335 -37.56102 5.05480 -17.66009 0.01094 0.16264 0.15043 0.38665 hikb
168.78555 -44.07320 -12.54255 -4.56555 1.33015 0.17449 0.12753 0.41614 haas
