#lon lat ve vn se sn corr name
170.04809 -45.78191 -29.09052 -12.51976 0.46146 0.68776 0 e2k3
169.76638 -45.97028 -28.63806 -12.61255 0.43433 0.67942 0 dqyr
169.16980 -45.08040 -29.36756 -11.78825 0.71523 0.55101 0 e2k4
169.42533 -45.67637 -28.65974 -12.80016 0.62176 0.68461 0 dqyq
169.35455 -44.93327 -28.26558 -12.32200 0.76035 0.67653 0 dqyp
169.61548 -45.10690 -28.53174 -11.98323 0.61837 0.81037 0 dqyn
169.62900 -45.26284 -28.52167 -12.55550 0.76537 0.76731 0 dqym
169.97852 -45.04760 -28.81581 -12.48177 0.76910 0.74170 0 dqyl
169.80312 -45.47854 -28.28569 -13.06864 0.70318 0.70252 0 dqyk
170.06689 -45.28491 -28.69872 -12.44460 0.82283 0.83038 0 dqyj
170.21600 -45.38304 -28.82936 -12.75281 0.86656 0.95827 0 dqyh
170.32169 -45.46702 -29.78401 -13.23720 0.63882 1.04128 0 dqyg
170.51726 -45.37091 -29.31521 -12.22565 0.55961 0.93568 0 dqyf
169.20610 -44.28609 -22.18083 -9.81004 0.44365 0.50664 0 dpx3
169.30232 -44.74860 -26.68103 -11.49540 0.37750 0.61611 0 dme5
169.90345 -44.93835 -28.41107 -11.85485 0.50443 0.45108 0 dme3
170.12325 -45.56568 -28.18892 -11.85007 0.62257 0.58863 0 dme1
170.12120 -46.14650 -28.64081 -10.63911 1.02752 0.56799 0 ecfh
170.08120 -46.20190 -26.92649 -10.87556 1.36859 1.47322 0 ecfg
169.32070 -45.47390 -28.31914 -12.05083 1.12118 0.66929 0 e2k6
169.00359 -43.86082 -6.95000 -0.75854 0.46000 0.46000 0 6731
169.25068 -44.19470 -21.57000 -10.02894 0.62000 0.81000 0 aady
170.21792 -46.05620 -28.30964 -11.79331 1.42246 1.60691 0 em6l
170.85798 -45.35703 -28.89326 -11.87479 2.41398 2.19398 0 dy3p
168.54036 -44.11938 -7.00013 -2.60240 3.81252 1.23707 0 a31r
170.70018 -44.98252 -29.62777 -12.30623 1.48790 1.19632 0 eebp
170.53420 -44.80707 -30.22683 -12.46392 1.42823 1.13718 0 eebn
170.24890 -44.61759 -30.83323 -13.28548 1.94603 1.79086 0 eebm
169.86690 -44.54377 -28.61006 -12.12388 2.14547 1.25554 0 eebl
169.49640 -44.69768 -27.97312 -12.07259 1.74672 1.51287 0 eebk
168.75572 -45.12799 -28.20938 -11.63437 1.52769 1.55254 0 eebj
168.70860 -45.45650 -28.15321 -10.72703 2.34500 1.05848 0 eebh
168.82119 -45.91301 -28.82592 -11.74044 1.44811 1.03884 0 eebg
169.37308 -46.12972 -27.66979 -11.85999 1.66704 1.05848 0 eebf
170.15049 -46.16310 -27.22556 -11.00675 1.46800 1.09781 0 ecfj
169.04498 -43.88000 -9.16000 -3.63856 0.72000 0.65000 0 b8nc
169.04636 -43.86093 -8.38000 -1.53854 0.70000 0.62000 0 b8na
