#lon lat ve vn vu se sn su name
170.59720 -45.88370 -29.70591 -13.07666 NaN 0.60733 0.65773 NaN dund
170.51090 -45.86950 -28.53078 -13.13756 NaN 0.33817 0.30078 NaN ousd
174.83439 -36.60280 0.69176 -0.93865 NaN 0.26644 0.22931 NaN auck
174.80590 -41.32348 -24.62238 -7.63004 NaN 0.60353 0.34291 NaN wgtn
174.66279 -36.43440 0.04445 -1.66459 NaN 0.63523 0.64587 NaN wark
172.65470 -43.70271 -32.36726 -11.33904 NaN 0.46506 0.45519 NaN mqzg
169.30825 -45.23100 -28.66816 -12.32806 NaN 0.84153 0.65756 NaN lexa
174.31460 -35.80380 0.88711 -0.12043 NaN 0.30753 0.26279 NaN whng
176.26090 -37.72880 2.06488 -1.78980 NaN 0.43375 0.30503 NaN trng
174.11820 -39.18255 -2.35908 -1.23955 NaN 0.53459 0.40044 NaN nply
174.85410 -38.51300 -0.45569 -0.64832 NaN 0.53372 0.35994 NaN maho
173.27310 -35.06890 -0.03405 -0.85375 NaN 0.48368 0.39518 NaN ktia
170.98431 -42.71290 -3.72686 -1.14762 NaN 0.36144 0.35348 NaN hoki
175.10920 -37.80680 -0.29034 -0.76716 NaN 0.41952 0.29778 NaN hamt
177.01389 -37.98169 3.74047 -14.19260 NaN 0.75729 0.61009 NaN whkt
174.78160 -41.29040 -23.55507 -7.19477 NaN 0.38298 0.39650 NaN wgtt
171.80621 -41.74472 -2.71679 -0.53775 NaN 0.46172 0.42105 NaN west
174.82142 -39.78689 -6.02583 -0.80615 NaN 0.66422 0.50100 NaN wang
170.92030 -44.65570 -30.57831 -12.69264 NaN 0.63811 0.46916 NaN waim
173.43371 -41.18350 -8.93810 -1.01240 NaN 0.72888 0.61749 NaN nlsn
175.58458 -41.06199 -25.94497 -10.60966 NaN 0.39113 0.28961 NaN mast
172.26631 -42.78339 -22.40821 -9.61420 NaN 0.44501 0.69533 NaN lkta
173.53366 -42.42548 -28.36680 -10.81729 NaN 0.46211 0.37457 NaN kaik
178.30335 -37.56102 5.48761 -17.20076 NaN 0.46817 0.41947 NaN hikb
168.78555 -44.07320 -12.79465 -4.54419 NaN 0.71367 0.89102 NaN haas
170.62940 -45.81431 -29.27131 -12.55331 NaN 0.56848 0.48831 NaN dunt
175.74958 -36.86541 1.65424 -0.53498 NaN 0.37020 0.27462 NaN corm
183.43416 -43.95579 -33.00270 -0.33263 NaN 0.27394 0.22875 NaN chat
168.29209 -46.58508 -25.51109 -13.23123 NaN 0.59328 0.52123 NaN bluf
174.76990 -36.84360 1.22010 -0.29734 NaN 0.52672 0.41285 NaN takl
169.81582 -43.53168 -8.12989 -2.35903 NaN 0.40202 0.30592 NaN quar
175.25479 -41.56921 -32.79099 -10.16702 NaN 0.51509 0.50005 NaN pali
172.72220 -43.60580 -32.57067 -11.89734 NaN 0.51476 0.57871 NaN lytt
172.52956 -40.82660 -3.28811 0.26535 NaN 0.60013 0.55856 NaN gldb
177.07635 -39.65789 -6.98325 -16.03300 NaN 0.77031 0.65380 NaN ckid
183.38288 -43.73547 -33.95583 -0.85234 NaN 0.58291 0.59527 NaN chti
174.93290 -41.19640 -24.89197 -7.49080 NaN 1.43607 0.98601 NaN avln
173.98420 -41.56066 -16.88109 -5.59176 NaN 0.91757 0.89606 NaN with
177.23440 -39.07720 -4.77575 -14.00567 NaN 1.22146 1.13707 NaN wahu
175.68790 -41.39800 -32.36317 -10.26637 NaN 0.36254 0.34406 NaN trav
174.28010 -41.19160 -15.41778 -4.28241 NaN 1.37706 1.43867 NaN tory
175.89050 -41.10660 -27.58774 -11.65972 NaN 0.49237 0.47424 NaN tema
176.49251 -39.16552 0.17657 -13.48731 NaN 0.71933 0.49134 NaN ripa
177.41540 -38.49556 1.62584 -17.10479 NaN 1.07268 1.58080 NaN rawi
166.68071 -46.16619 -36.47551 -11.49037 NaN 21.35806 26.05504 NaN pygr
178.25740 -38.07140 5.70573 -18.85181 NaN 0.53166 0.39752 NaN puke
176.63520 -40.26640 -18.74442 -13.52303 NaN 0.84804 0.55402 NaN pora
176.86390 -40.03310 -17.93194 -13.86496 NaN 0.75333 0.64677 NaN pawa
170.51091 -45.86947 -29.61578 -12.41656 NaN 0.53662 0.46543 NaN ous2
177.30760 -38.04650 2.79031 -15.12962 NaN 0.81319 0.63604 NaN optk
174.06030 -41.01930 -14.17615 -4.43995 NaN 0.92954 1.04690 NaN okoh
170.46493 -43.98570 -27.17316 -12.07469 NaN 0.37838 0.39638 NaN mtjo
168.11820 -45.36651 -25.22114 -10.51188 NaN 0.89639 0.76732 NaN mavl
176.93670 -39.33230 -3.45429 -17.40111 NaN 0.79420 0.74159 NaN leyl
175.24060 -40.58880 -18.88486 -7.37578 NaN 0.70221 0.58673 NaN levn
175.42405 -40.40930 -16.66277 -7.57238 NaN 0.69924 0.57080 NaN koro
177.66780 -39.01610 -9.17715 -19.47705 NaN 0.74350 0.60409 NaN koko
174.90980 -40.86090 -19.06570 -6.48665 NaN 0.96757 1.10390 NaN kapt
176.87630 -39.79380 -11.12230 -13.90265 NaN 0.79520 0.70164 NaN kahu
176.72658 -39.61701 -6.89628 -15.22223 NaN 0.48655 0.38300 NaN hast
175.23810 -40.08030 -11.37053 -5.29678 NaN 1.04347 1.08994 NaN gnbk
177.88601 -38.63532 -8.50726 -14.55034 NaN 0.70468 0.48570 NaN gisb
173.92160 -40.80180 -10.65023 -1.47996 NaN 1.19817 0.86409 NaN durv
174.21380 -41.74900 -23.57166 -8.41816 NaN 0.50393 0.59862 NaN cmbl
176.24610 -40.67980 -26.50077 -9.53907 NaN 0.52919 0.55197 NaN birf
176.06317 -39.48918 -4.72693 -9.90173 NaN 0.84093 0.89323 NaN bhst
174.77042 -36.84375 -0.79589 -1.20734 NaN 0.70602 0.70467 NaN aukt
176.46120 -40.53980 -25.95735 -11.95097 NaN 1.08258 0.53407 NaN akto
176.44060 -40.06420 -16.86202 -8.58610 NaN 0.86396 0.84631 NaN wpuk
176.54300 -39.89589 -14.68110 -11.68727 NaN 0.88892 0.69960 NaN wpaw
169.88531 -43.58403 -13.42847 -3.50372 NaN 0.45071 0.67732 NaN waka
147.05569 -19.26928 0.12951 0.03592 NaN 0.23302 0.23064 NaN tow2
177.81142 -38.43749 0.28813 -18.97289 NaN 1.14763 0.85055 NaN tkar
175.88569 -40.77601 -25.67748 -10.54812 NaN 0.68639 0.63666 NaN tint
175.78560 -39.68250 -7.70408 -7.79913 NaN 0.93770 0.86024 NaN thap
178.00589 -38.16241 1.23003 -19.02147 NaN 0.79340 0.75480 NaN tauw
177.34750 -38.77961 0.89041 -17.96463 NaN 1.26043 0.77461 NaN snst
175.40432 -41.18691 -29.51232 -10.95676 NaN 0.42872 0.56681 NaN rdlv
177.67753 -37.96500 2.71970 -16.45576 NaN 1.55618 1.35299 NaN raum
177.08608 -38.91619 2.11113 -16.55750 NaN 0.86603 0.73166 NaN rahi
175.99928 -40.60108 -24.29255 -9.62921 NaN 1.06355 0.83628 NaN ptoi
177.69789 -38.81420 -8.34443 -17.18407 NaN 1.28545 1.28100 NaN prtu
176.20048 -39.91679 -14.20046 -10.16677 NaN 1.71297 0.67163 NaN pnui
175.42692 -41.38152 -31.99545 -9.83691 NaN 0.47042 0.46522 NaN parw
174.95210 -41.02180 -21.94482 -6.10761 NaN 0.75403 1.29477 NaN paek
175.76132 -40.38542 -18.23711 -9.14386 NaN 1.61400 1.00704 NaN nrrd
176.80661 -39.09702 0.72957 -16.95464 NaN 1.33729 1.57375 NaN nmai
175.24138 -41.00159 -23.85838 -8.39821 NaN 1.69492 1.26180 NaN mtqn
175.53615 -40.18138 -9.87401 -9.49587 NaN 0.82890 0.73541 NaN mtbl
176.74973 -38.61686 3.15656 -13.37048 NaN 1.48914 1.17202 NaN ming
171.57530 -43.59135 -30.24367 -14.50009 NaN 0.86553 1.23277 NaN meth
176.69655 -39.44420 -4.14654 -17.28560 NaN 0.89492 0.84237 NaN mcnl
177.52620 -38.33382 1.93392 -16.40578 NaN 0.87508 0.48368 NaN matw
175.57488 -40.66870 -21.73328 -7.42439 NaN 1.08747 0.54291 NaN mang
173.79381 -41.29139 -13.02306 -3.67879 NaN 1.29209 0.97196 NaN maha
176.42279 -39.42402 -1.10771 -14.34058 NaN 1.23236 1.26689 NaN kawk
117.09719 -20.98143 -0.31637 0.40635 NaN 0.17521 0.16170 NaN karr
169.77516 -43.60839 -11.33866 -3.24644 NaN 0.54423 0.48285 NaN kara
175.51519 -40.89722 -22.91985 -9.63368 NaN 1.49407 0.61767 NaN hold
147.43874 -42.80471 0.12833 -0.21133 NaN 0.27134 0.39012 NaN hob2
177.56938 -38.68681 -3.97610 -14.35913 NaN 1.06872 1.02025 NaN hana
175.45928 -39.97628 -9.84192 -5.39853 NaN 0.75107 1.00903 NaN grng
169.85585 -43.66623 -16.16591 -6.31088 NaN 0.45568 0.33966 NaN cncl
175.14549 -41.14468 -26.16894 -8.30632 NaN 1.55400 1.51467 NaN clim
133.80983 -31.86666 0.26870 -0.36419 NaN 0.16093 0.16723 NaN cedu
133.88552 -23.67012 0.20778 0.18856 NaN 0.20970 0.19370 NaN alic
178.04600 -38.41145 -3.01153 -17.70992 NaN 1.56822 1.04129 NaN ahti
115.34698 -29.04655 -0.46415 -0.03220 NaN 0.21262 0.20396 NaN yar2
174.62764 -41.27805 -21.84235 -5.58555 NaN 1.23222 1.72857 NaN trwh
148.98000 -35.39920 0.05810 -0.20414 NaN 0.30369 0.25653 NaN tidb
148.98000 -35.39920 0.20910 -0.08514 NaN 0.27015 0.25059 NaN tid2
151.15038 -33.78087 -0.07320 -0.20749 NaN 0.29672 0.25667 NaN sydn
182.07105 -29.24467 -15.40208 -14.13032 NaN 1.73077 1.01422 NaN raul
176.62116 -39.74720 -11.21303 -14.85668 NaN 1.31630 1.10103 NaN rakw
169.92154 -43.66059 -17.60256 -6.64939 NaN 0.68778 0.73023 NaN pilk
175.17040 -40.81650 -21.96653 -6.97430 NaN 0.76103 0.82922 NaN otak
176.68069 -40.10436 -19.96510 -12.71439 NaN 1.53313 1.40180 NaN oroa
176.20004 -40.11332 -15.84405 -8.14473 NaN 1.57605 1.05204 NaN nrsw
116.19272 -31.04873 -0.27322 0.00682 NaN 0.24570 0.21549 NaN nnor
170.35053 -43.33641 -11.21018 -3.36650 NaN 0.75164 0.98391 NaN mtpr
144.97534 -37.82941 0.49989 0.07773 NaN 0.25380 0.26948 NaN mobs
176.22338 -40.46864 -22.61617 -11.25786 NaN 3.77344 1.73263 NaN mnhr
176.02883 -39.70338 -9.50993 -11.73558 NaN 1.61501 1.34081 NaN mkno
164.28734 -20.55869 -0.14665 0.16381 NaN 0.51586 0.42892 NaN kouc
170.10551 -43.77733 -23.17791 -9.98134 NaN 0.74766 0.44307 NaN horn
177.40987 -38.93930 -0.33965 -19.45036 NaN 1.46724 1.16706 NaN frtn
131.13274 -12.84370 0.02751 0.34049 NaN 0.31632 0.33969 NaN darw
170.19014 -43.86249 -23.58446 -11.09887 NaN 1.21403 0.85208 NaN bnet
176.13641 -38.61758 1.89166 -7.00032 NaN 1.07750 1.00614 NaN arta
178.29122 -38.26821 -1.24183 -18.05298 NaN 1.59922 1.36801 NaN anau
138.64735 -34.72900 0.25253 0.16202 NaN 0.20824 0.22368 NaN ade1
169.89321 -43.63770 -16.35443 -6.20027 NaN 1.52780 1.62155 NaN vexa
210.39381 -17.57702 -83.19839 27.44681 NaN 0.66183 0.42889 NaN tah1
115.88525 -31.80196 0.36216 -0.08962 NaN 0.29428 0.28372 NaN pert
148.26461 -32.99876 -0.70562 -1.40847 NaN 0.58091 0.59210 NaN park
170.06122 -43.75612 -21.36862 -9.55161 NaN 1.40288 1.04887 NaN nett
167.26378 -20.91799 0.28929 0.86169 NaN 0.95265 0.78337 NaN lpil
176.37012 -39.64315 -8.15033 -14.68961 NaN 1.52010 1.13299 NaN kere
132.15328 -14.37600 -0.83290 -0.13986 NaN 0.77455 0.71548 NaN kat1
210.38570 -17.55531 -83.57781 27.72260 NaN 0.84804 0.73551 NaN faa1
96.83397 -12.18834 1.01166 1.54365 NaN 0.44149 0.45566 NaN coco
200.19939 -21.20103 -76.31242 17.63423 NaN 0.55725 0.51455 NaN ckis
152.32101 -24.90822 0.27722 0.11718 NaN 0.54981 0.45743 NaN bndy
115.34716 -29.04649 -0.56327 -0.19520 NaN 0.51706 0.45934 NaN yar3
168.31514 -17.74397 -79.62281 -35.16349 NaN 0.68609 0.59685 NaN vanu
184.82078 -21.14471 72.47490 -38.42906 NaN 1.09985 0.92791 NaN tong
148.98000 -35.39920 0.00910 -0.34814 NaN 0.26424 0.21207 NaN tid1
166.21537 -21.60858 0.44682 1.29256 NaN 1.33074 0.84858 NaN thio
210.39381 -17.57703 -83.21739 27.47081 NaN 0.59691 0.56698 NaN tah2
153.03530 -27.48489 0.33186 0.21366 NaN 0.41622 0.42430 NaN sunm
149.01016 -35.31616 0.25101 0.02675 NaN 0.40972 0.33593 NaN str2
149.01005 -35.31553 0.13302 -0.24924 NaN 0.28591 0.22687 NaN str1
188.26158 -13.84921 -87.35563 4.60398 NaN 0.51362 0.44220 NaN samo
169.92106 -43.70206 -18.71389 -7.37799 NaN 0.75363 0.59053 NaN redd
210.42728 -17.53308 -84.08509 27.36367 NaN 0.47085 0.47666 NaN pape
178.08260 -37.89398 4.91239 -15.74919 NaN 1.82804 2.67952 NaN paki
167.93883 -29.04334 -0.27071 -0.17327 NaN 0.57825 0.55807 NaN norf
