#lon lat ve vn vu se sn su name
174.31460 -35.80380 4.19293 -0.15489 0.30000 0.80277 0.90196 1.70000 whng
176.26090 -37.72880 2.89293 -2.55489 -0.90000 0.80277 0.90196 1.70000 trng
174.85410 -38.51300 1.09293 0.44511 -2.40000 0.80277 0.90196 1.70000 maho
173.27310 -35.06890 6.19293 1.44511 -0.80000 1.20185 1.30136 2.70000 ktia
175.10920 -37.80680 1.39293 -0.85489 0.40000 0.80277 0.90196 1.70000 hamt
176.08100 -38.74271 5.39293 -6.95489 1.60000 0.80277 0.90196 1.70000 taup
176.55626 -37.84589 -1.60707 -4.45489 4.50000 1.20185 1.30136 2.70000 rgop
176.72472 -37.91544 1.99293 -10.65489 10.40000 1.40159 1.50118 3.20000 rgmt
176.51462 -38.33889 0.39293 -8.25489 -1.90000 1.20185 1.30136 2.70000 rgrr
176.77281 -38.05253 1.79293 -12.85489 -0.80000 1.40159 1.50118 3.20000 rgkw
176.19418 -38.17662 5.49293 -5.85489 -6.00000 0.80277 0.90196 1.70000 rgut
176.50610 -38.23379 -1.90707 -5.05489 -13.80000 1.20185 1.30136 2.70000 rgta
176.52120 -38.05728 0.39293 -7.75489 -2.10000 1.20185 1.30136 2.70000 rgre
176.46711 -38.13832 2.39293 -11.45489 -17.90000 0.80277 0.90196 1.70000 rgmk
176.38571 -38.00329 2.39293 -5.85489 -2.10000 1.20185 1.30136 2.70000 rgli
176.24408 -38.02008 2.19293 -4.05489 -0.90000 1.20185 1.30136 2.70000 rgka
176.28798 -38.38579 -0.40707 -7.05489 -7.50000 1.20185 1.30136 2.70000 rghr
176.35229 -38.25192 -2.50707 -6.75489 -19.60000 1.40159 1.50118 3.20000 rghl
176.34303 -38.56204 0.89293 -6.45489 -3.60000 1.40159 1.50118 3.20000 rgar
176.37800 -38.10470 2.29293 -6.25489 -3.20000 1.20185 1.30136 2.70000 rgcr
176.12378 -37.88920 2.29293 -2.35489 -2.10000 1.90117 2.20080 7.20000 eaxx
176.08130 -38.15288 2.39293 -3.25489 -0.80000 0.60369 0.70252 1.50000 cbwu
175.87752 -37.89432 1.49293 -1.15489 -0.80000 1.00222 1.10161 2.70000 b4dp
176.03008 -38.38749 6.09293 -6.75489 -5.30000 1.90117 2.20080 7.20000 ah9j
176.01788 -38.35959 3.99293 -5.25489 -4.50000 2.10106 2.50071 9.60000 a87p
176.07308 -38.04782 1.69293 -2.65489 0.40000 0.50442 0.60294 1.20000 2383
175.86541 -38.21110 1.19293 -2.65489 0.50000 1.10202 1.30136 3.30000 2382
176.81940 -38.11360 3.79293 -12.75489 -1.00000 1.90117 2.20080 7.20000 eaxy
176.16320 -38.41070 2.59293 -6.75489 -15.50000 2.10106 2.50071 9.60000 e4mh
176.52200 -38.22920 -0.60707 -5.85489 -7.20000 0.50442 0.60294 1.20000 cbww
176.56080 -38.40790 2.09293 -9.65489 -1.40000 0.70317 0.70252 1.60000 cbwv
176.75300 -38.25660 2.99293 -11.75489 1.80000 0.50442 0.60294 1.20000 cbwr
176.09810 -38.40700 6.39293 -6.95489 -12.20000 1.00222 1.20147 4.30000 bevj
176.30280 -38.47680 -0.60707 -7.15489 -9.10000 0.50442 0.50352 1.00000 be2t
176.25250 -38.13040 3.59293 -7.15489 -4.90000 0.90246 1.00177 2.20000 b4hj
176.25470 -38.16890 4.69293 -6.85489 -8.70000 0.50442 0.60294 1.20000 b26q
176.53450 -38.03640 0.99293 -6.75489 -1.00000 0.90246 1.00177 2.20000 agug
176.48780 -38.47250 1.49293 -10.05489 0.80000 1.30171 1.50118 4.10000 agb9
176.73710 -38.07650 2.99293 -9.65489 -0.70000 0.50442 0.60294 1.20000 a9bm
176.28770 -38.35200 0.69293 -4.75489 -9.30000 0.50442 0.60294 1.20000 a88h
176.30070 -38.33760 1.79293 -4.25489 -10.30000 0.50442 0.60294 1.20000 a88g
176.15820 -38.36430 5.29293 -8.55489 -12.30000 2.10106 2.50071 9.60000 a886
176.13770 -38.30200 4.89293 -6.65489 -8.50000 2.10106 2.50071 9.60000 a86w
176.21430 -38.32890 1.49293 -5.85489 -12.40000 2.10106 2.50071 9.60000 a86t
176.16900 -38.31400 5.49293 -7.05489 -9.10000 0.50442 0.60294 1.20000 a86l
176.82720 -38.37570 0.69293 -12.85489 -0.20000 0.50442 0.60294 1.20000 a7lj
176.73400 -38.37640 2.89293 -11.75489 -1.90000 0.50442 0.60294 1.20000 a7lf
176.39320 -37.86280 1.89293 -4.05489 0.60000 1.90117 2.20080 7.20000 a4k6
176.68470 -37.98210 1.19293 -9.15489 1.70000 1.90117 2.20080 7.20000 6881
176.32070 -38.24920 1.59293 -6.45489 -13.40000 0.50442 0.60294 1.20000 3094
176.29830 -38.23350 3.59293 -6.45489 -8.10000 0.50442 0.60294 1.20000 3093
176.38810 -38.31920 0.49293 -5.85489 -3.40000 0.50442 0.60294 1.20000 3081
176.50170 -38.27760 0.59293 -7.65489 -4.20000 1.00222 1.20147 4.30000 3080
176.50030 -38.31830 1.19293 -7.95489 -10.70000 0.50442 0.60294 1.20000 3079
176.45980 -38.31120 1.09293 -7.15489 -3.40000 0.60369 0.70252 1.30000 3078
176.42830 -38.30510 0.09293 -5.85489 -6.80000 0.50442 0.60294 1.20000 3077
176.32910 -38.26400 1.49293 -4.85489 -15.00000 0.50442 0.60294 1.20000 3067
176.32350 -38.29170 1.99293 -3.65489 -12.00000 0.50442 0.60294 1.20000 3066
176.27790 -38.28500 2.99293 -3.15489 -12.20000 0.50442 0.60294 1.20000 3063
176.24830 -38.30540 2.39293 -4.15489 -12.90000 0.50442 0.60294 1.20000 3061
176.34590 -38.24630 0.59293 -7.15489 -14.00000 0.50442 0.60294 1.20000 3056
176.28220 -38.24860 3.59293 -5.85489 -13.50000 0.50442 0.60294 1.20000 3052
176.27250 -38.21660 3.89293 -7.15489 -11.00000 1.00222 1.20147 4.30000 3051
