#lon lat ve vn vu se sn su name
170.59720 -45.88370 NaN NaN -0.14000 NaN NaN 0.81707 dund
174.83439 -36.60280 NaN NaN -0.35000 NaN NaN 0.45343 auck
174.66279 -36.43440 NaN NaN 0.51000 NaN NaN 1.00578 wark
172.65470 -43.70271 NaN NaN -0.24000 NaN NaN 0.50000 mqzg
169.30825 -45.23100 NaN NaN 0.63000 NaN NaN 1.07280 lexa
174.80590 -41.32348 NaN NaN -1.53000 NaN NaN 0.46098 wgtn
174.31460 -35.80380 NaN NaN 0.35000 NaN NaN 1.03446 whng
176.26090 -37.72880 NaN NaN 0.98000 NaN NaN 0.74324 trng
174.11820 -39.18255 NaN NaN -1.42000 NaN NaN 0.72498 nply
174.85410 -38.51300 NaN NaN -0.82000 NaN NaN 0.77078 maho
173.27310 -35.06890 NaN NaN 0.22000 NaN NaN 0.91082 ktia
170.98431 -42.71290 NaN NaN -0.49000 NaN NaN 0.72498 hoki
175.10920 -37.80680 NaN NaN 0.44000 NaN NaN 0.74324 hamt
183.43416 -43.95579 NaN NaN 3.50000 NaN NaN 0.64413 chat
177.01389 -37.98169 NaN NaN 1.32000 NaN NaN 1.50030 whkt
171.80621 -41.74472 NaN NaN -0.12000 NaN NaN 0.79850 west
174.82142 -39.78689 NaN NaN 0.23000 NaN NaN 0.74324 wang
170.92030 -44.65570 NaN NaN 0.15000 NaN NaN 0.80777 waim
173.43371 -41.18350 NaN NaN -0.97000 NaN NaN 0.77078 nlsn
172.26631 -42.78339 NaN NaN 2.27000 NaN NaN 0.97719 lkta
173.53366 -42.42548 NaN NaN -0.38000 NaN NaN 1.04403 kaik
178.30335 -37.56102 NaN NaN -0.14000 NaN NaN 0.74324 hikb
168.78555 -44.07320 NaN NaN 2.20000 NaN NaN 0.97719 haas
175.74958 -36.86541 NaN NaN -0.01000 NaN NaN 0.98671 corm
168.29209 -46.58508 NaN NaN 1.58000 NaN NaN 0.95818 bluf
174.78160 -41.29040 NaN NaN -2.32000 NaN NaN 0.93920 wgtt
175.58458 -41.06199 NaN NaN -3.22000 NaN NaN 1.00578 mast
183.38288 -43.73547 NaN NaN 0.59000 NaN NaN 0.94868 chti
176.08100 -38.74271 NaN NaN 2.83000 NaN NaN 0.72498 taup
172.52956 -40.82660 NaN NaN -0.54000 NaN NaN 0.77078 gldb
175.25479 -41.56921 NaN NaN -2.71000 NaN NaN 1.21754 pali
177.07635 -39.65789 NaN NaN 1.21000 NaN NaN 1.14018 ckid
174.93290 -41.19640 NaN NaN -0.03000 NaN NaN 1.14983 avln
173.98420 -41.56066 NaN NaN 0.92000 NaN NaN 1.28550 with
177.23440 -39.07720 NaN NaN 1.03000 NaN NaN 1.51990 wahu
175.47046 -39.38458 NaN NaN 2.38000 NaN NaN 1.12089 vgmt
174.28010 -41.19160 NaN NaN 1.03000 NaN NaN 0.87316 tory
176.49251 -39.16552 NaN NaN 1.17000 NaN NaN 1.07280 ripa
176.55626 -37.84589 NaN NaN 4.15000 NaN NaN 1.26606 rgop
176.72472 -37.91544 NaN NaN 6.62000 NaN NaN 1.33417 rgmt
177.41540 -38.49556 NaN NaN 2.64000 NaN NaN 1.40246 rawi
178.25740 -38.07140 NaN NaN 1.99000 NaN NaN 0.77078 puke
176.86390 -40.03310 NaN NaN 0.09000 NaN NaN 1.09202 pawa
170.51091 -45.86947 NaN NaN 0.29000 NaN NaN 0.50804 ous2
177.30760 -38.04650 NaN NaN -0.17000 NaN NaN 1.43178 optk
174.06030 -41.01930 NaN NaN -1.06000 NaN NaN 1.10164 okoh
168.11820 -45.36651 NaN NaN 1.56000 NaN NaN 0.98671 mavl
177.90700 -39.15258 NaN NaN 1.65000 NaN NaN 1.22723 mahi
175.24060 -40.58880 NaN NaN 0.71000 NaN NaN 0.96768 levn
175.42405 -40.40930 NaN NaN 1.11000 NaN NaN 1.22723 koro
177.66780 -39.01610 NaN NaN 0.45000 NaN NaN 1.06320 koko
174.90980 -40.86090 NaN NaN -0.41000 NaN NaN 1.06320 kapt
175.23810 -40.08030 NaN NaN -0.36000 NaN NaN 1.27577 gnbk
173.92160 -40.80180 NaN NaN -1.31000 NaN NaN 0.80777 durv
174.21380 -41.74900 NaN NaN 1.23000 NaN NaN 0.79850 cmbl
176.24610 -40.67980 NaN NaN -2.65000 NaN NaN 1.07280 birf
176.06317 -39.48918 NaN NaN 1.90000 NaN NaN 1.29522 bhst
174.77042 -36.84375 NaN NaN 0.13000 NaN NaN 1.02489 aukt
175.68790 -41.39800 NaN NaN -3.10000 NaN NaN 1.15948 trav
175.89050 -41.10660 NaN NaN -1.83000 NaN NaN 1.28550 tema
176.63520 -40.26640 NaN NaN -1.21000 NaN NaN 0.84504 pora
176.93670 -39.33230 NaN NaN -1.64000 NaN NaN 1.21754 leyl
176.87630 -39.79380 NaN NaN -0.67000 NaN NaN 1.14018 kahu
176.72658 -39.61701 NaN NaN -1.55000 NaN NaN 0.99624 hast
176.16666 -40.29886 NaN NaN -2.00000 NaN NaN 0.98671 dnvk
176.46120 -40.53980 NaN NaN -1.96000 NaN NaN 1.14018 akto
178.40870 -37.82500 NaN NaN 1.49000 NaN NaN 1.65738 wmat
175.34641 -39.28927 NaN NaN 0.98000 NaN NaN 1.13053 vgpk
177.81142 -38.43749 NaN NaN -0.31000 NaN NaN 1.69673 tkar
175.78560 -39.68250 NaN NaN 2.60000 NaN NaN 1.39270 thap
178.00589 -38.16241 NaN NaN 3.45000 NaN NaN 1.55913 tauw
177.34750 -38.77961 NaN NaN 1.13000 NaN NaN 1.51990 snst
176.77281 -38.05253 NaN NaN -0.46000 NaN NaN 1.44156 rgkw
177.67753 -37.96500 NaN NaN 1.54000 NaN NaN 1.69673 raum
177.08608 -38.91619 NaN NaN 1.41000 NaN NaN 1.29522 rahi
177.69789 -38.81420 NaN NaN 2.07000 NaN NaN 1.04403 prtu
177.88330 -38.92260 NaN NaN -2.04000 NaN NaN 1.22723 pari
175.76132 -40.38542 NaN NaN 0.90000 NaN NaN 1.28550 nrrd
176.80661 -39.09702 NaN NaN 2.23000 NaN NaN 1.28550 nmai
175.53615 -40.18138 NaN NaN 1.63000 NaN NaN 1.28550 mtbl
176.74973 -38.61686 NaN NaN -0.36000 NaN NaN 1.55913 ming
171.57530 -43.59135 NaN NaN 0.22000 NaN NaN 1.62788 meth
177.52620 -38.33382 NaN NaN 1.89000 NaN NaN 1.04403 matw
175.57488 -40.66870 NaN NaN 0.14000 NaN NaN 1.10164 mang
173.79381 -41.29139 NaN NaN 0.08000 NaN NaN 1.10164 maha
177.56938 -38.68681 NaN NaN 1.86000 NaN NaN 1.21754 hana
175.45928 -39.97628 NaN NaN 1.66000 NaN NaN 1.21754 grng
178.21110 -38.48800 NaN NaN 0.83000 NaN NaN 1.23693 cnst
178.04600 -38.41145 NaN NaN 2.27000 NaN NaN 1.39270 ahti
176.51462 -38.33889 NaN NaN -2.41000 NaN NaN 1.33417 rgrr
176.44060 -40.06420 NaN NaN -1.68000 NaN NaN 1.19817 wpuk
176.54300 -39.89589 NaN NaN -2.48000 NaN NaN 1.19817 wpaw
175.88569 -40.77601 NaN NaN -3.17000 NaN NaN 1.19817 tint
175.40432 -41.18691 NaN NaN -2.30000 NaN NaN 1.38293 rdlv
