#lon lat ve vn vu se sn su name
170.59720 -45.88370 NaN NaN -2.64434 NaN NaN 4.00000 dund
170.51090 -45.86950 NaN NaN -0.44413 NaN NaN 2.00000 ousd
174.83439 -36.60280 NaN NaN -0.41019 NaN NaN 0.60000 auck
174.80590 -41.32348 NaN NaN -0.93007 NaN NaN 0.60000 wgtn
174.66279 -36.43440 NaN NaN -0.30605 NaN NaN 8.70000 wark
172.65470 -43.70271 NaN NaN 0.90937 NaN NaN 1.50000 mqzg
169.30825 -45.23100 NaN NaN -1.43117 NaN NaN 5.50000 lexa
174.31460 -35.80380 NaN NaN -0.39002 NaN NaN 1.60000 whng
176.26090 -37.72880 NaN NaN -0.03731 NaN NaN 1.70000 trng
174.11820 -39.18255 NaN NaN -1.77764 NaN NaN 3.10000 nply
174.85410 -38.51300 NaN NaN -3.15952 NaN NaN 2.50000 maho
173.27310 -35.06890 NaN NaN -1.07220 NaN NaN 4.40000 ktia
170.98431 -42.71290 NaN NaN 2.03060 NaN NaN 1.50000 hoki
175.10920 -37.80680 NaN NaN -1.04103 NaN NaN 2.10000 hamt
177.01389 -37.98169 NaN NaN 0.05727 NaN NaN 6.60000 whkt
174.78160 -41.29040 NaN NaN -3.02929 NaN NaN 1.50000 wgtt
171.80621 -41.74472 NaN NaN -2.24474 NaN NaN 2.30000 west
174.82142 -39.78689 NaN NaN -1.39184 NaN NaN 1.40000 wang
170.92030 -44.65570 NaN NaN -2.01551 NaN NaN 3.00000 waim
173.43371 -41.18350 NaN NaN -3.32860 NaN NaN 2.30000 nlsn
175.58458 -41.06199 NaN NaN -4.62252 NaN NaN 2.40000 mast
172.26631 -42.78339 NaN NaN 0.63077 NaN NaN 3.80000 lkta
173.53366 -42.42548 NaN NaN -2.45878 NaN NaN 3.00000 kaik
178.30335 -37.56102 NaN NaN -1.23002 NaN NaN 2.40000 hikb
168.78555 -44.07320 NaN NaN -0.60496 NaN NaN 4.70000 haas
170.62940 -45.81431 NaN NaN -0.94270 NaN NaN 2.40000 dunt
175.74958 -36.86541 NaN NaN -1.21567 NaN NaN 2.10000 corm
168.29209 -46.58508 NaN NaN -1.26351 NaN NaN 2.90000 bluf
176.08100 -38.74271 NaN NaN 3.13642 NaN NaN 1.50000 taup
169.81582 -43.53168 NaN NaN -2.09066 NaN NaN 3.50000 quar
175.25479 -41.56921 NaN NaN -5.23547 NaN NaN 4.10000 pali
172.72220 -43.60580 NaN NaN -0.68823 NaN NaN 2.30000 lytt
172.52956 -40.82660 NaN NaN -2.82112 NaN NaN 2.60000 gldb
177.07635 -39.65789 NaN NaN 1.61464 NaN NaN 2.30000 ckid
174.93290 -41.19640 NaN NaN -2.02676 NaN NaN 3.80000 avln
173.98420 -41.56066 NaN NaN 2.96293 NaN NaN 15.10000 with
177.23440 -39.07720 NaN NaN -0.97044 NaN NaN 8.90000 wahu
175.47046 -39.38458 NaN NaN 0.11924 NaN NaN 2.10000 vgmt
175.68790 -41.39800 NaN NaN -5.83066 NaN NaN 2.20000 trav
174.28010 -41.19160 NaN NaN -0.92758 NaN NaN 2.80000 tory
175.89050 -41.10660 NaN NaN -5.12319 NaN NaN 3.20000 tema
176.49251 -39.16552 NaN NaN -0.37374 NaN NaN 2.80000 ripa
176.55626 -37.84589 NaN NaN 3.66010 NaN NaN 3.20000 rgop
176.72472 -37.91544 NaN NaN 10.15855 NaN NaN 4.00000 rgmt
177.41540 -38.49556 NaN NaN 1.84465 NaN NaN 10.30000 rawi
166.68071 -46.16619 NaN NaN -1.45636 NaN NaN 8.30000 pygr
178.25740 -38.07140 NaN NaN 0.05674 NaN NaN 2.10000 puke
176.63520 -40.26640 NaN NaN -5.20126 NaN NaN 2.80000 pora
176.86390 -40.03310 NaN NaN -2.69509 NaN NaN 2.30000 pawa
177.30760 -38.04650 NaN NaN 1.05602 NaN NaN 11.50000 optk
174.06030 -41.01930 NaN NaN 0.77636 NaN NaN 18.90000 okoh
170.46493 -43.98570 NaN NaN -0.50045 NaN NaN 2.00000 mtjo
168.11820 -45.36651 NaN NaN -6.43601 NaN NaN 20.80000 mavl
177.90700 -39.15258 NaN NaN -2.27141 NaN NaN 4.50000 mahi
176.93670 -39.33230 NaN NaN -3.67733 NaN NaN 3.80000 leyl
175.24060 -40.58880 NaN NaN -5.01128 NaN NaN 6.70000 levn
175.42405 -40.40930 NaN NaN -5.00655 NaN NaN 3.40000 koro
177.66780 -39.01610 NaN NaN -1.86827 NaN NaN 2.00000 koko
174.90980 -40.86090 NaN NaN -0.71850 NaN NaN 1.90000 kapt
176.87630 -39.79380 NaN NaN -3.08906 NaN NaN 2.20000 kahu
176.72658 -39.61701 NaN NaN -5.18482 NaN NaN 1.70000 hast
175.23810 -40.08030 NaN NaN -1.49859 NaN NaN 4.10000 gnbk
177.88601 -38.63532 NaN NaN -2.95826 NaN NaN 1.70000 gisb
173.92160 -40.80180 NaN NaN -3.31846 NaN NaN 2.50000 durv
176.16666 -40.29886 NaN NaN -3.80273 NaN NaN 2.40000 dnvk
174.21380 -41.74900 NaN NaN -1.14135 NaN NaN 2.20000 cmbl
176.24610 -40.67980 NaN NaN -5.71211 NaN NaN 2.80000 birf
176.06317 -39.48918 NaN NaN -1.08254 NaN NaN 5.90000 bhst
176.46120 -40.53980 NaN NaN -4.90833 NaN NaN 3.10000 akto
176.44060 -40.06420 NaN NaN -6.69647 NaN NaN 3.20000 wpuk
176.54300 -39.89589 NaN NaN -7.79210 NaN NaN 3.40000 wpaw
178.40870 -37.82500 NaN NaN -1.53670 NaN NaN 23.10000 wmat
169.88531 -43.58403 NaN NaN 1.00820 NaN NaN 2.10000 waka
175.34641 -39.28927 NaN NaN -0.07853 NaN NaN 2.90000 vgpk
177.81142 -38.43749 NaN NaN 11.74670 NaN NaN 46.40000 tkar
175.88569 -40.77601 NaN NaN -7.01501 NaN NaN 2.80000 tint
175.78560 -39.68250 NaN NaN 1.91218 NaN NaN 7.00000 thap
178.00589 -38.16241 NaN NaN 2.25404 NaN NaN 14.00000 tauw
177.34750 -38.77961 NaN NaN 1.43730 NaN NaN 14.40000 snst
176.51462 -38.33889 NaN NaN -1.85263 NaN NaN 4.00000 rgrr
176.77281 -38.05253 NaN NaN -1.64490 NaN NaN 6.10000 rgkw
175.40432 -41.18691 NaN NaN -4.52586 NaN NaN 11.40000 rdlv
177.08608 -38.91619 NaN NaN -0.86656 NaN NaN 6.80000 rahi
175.99928 -40.60108 NaN NaN -5.61050 NaN NaN 5.90000 ptoi
177.69789 -38.81420 NaN NaN -0.76309 NaN NaN 12.00000 prtu
176.20048 -39.91679 NaN NaN -9.29311 NaN NaN 9.50000 pnui
175.42692 -41.38152 NaN NaN -5.63062 NaN NaN 2.60000 parw
177.88330 -38.92260 NaN NaN -5.46559 NaN NaN 4.30000 pari
174.95210 -41.02180 NaN NaN 1.17758 NaN NaN 2.10000 paek
175.76132 -40.38542 NaN NaN -8.00547 NaN NaN 7.60000 nrrd
176.80661 -39.09702 NaN NaN -1.47155 NaN NaN 5.40000 nmai
175.24138 -41.00159 NaN NaN -6.02151 NaN NaN 34.90000 mtqn
175.53615 -40.18138 NaN NaN -4.50069 NaN NaN 4.00000 mtbl
176.69655 -39.44420 NaN NaN -6.88050 NaN NaN 5.70000 mcnl
177.52620 -38.33382 NaN NaN 1.14895 NaN NaN 2.10000 matw
175.57488 -40.66870 NaN NaN -2.51279 NaN NaN 9.10000 mang
173.79381 -41.29139 NaN NaN -0.33073 NaN NaN 23.00000 maha
176.42279 -39.42402 NaN NaN -8.08038 NaN NaN 38.50000 kawk
169.77516 -43.60839 NaN NaN 1.20746 NaN NaN 1.50000 kara
175.51519 -40.89722 NaN NaN -2.81854 NaN NaN 10.80000 hold
177.56938 -38.68681 NaN NaN 0.03998 NaN NaN 4.90000 hana
175.45928 -39.97628 NaN NaN -1.49567 NaN NaN 3.20000 grng
178.21110 -38.48800 NaN NaN -2.65403 NaN NaN 4.20000 cnst
169.85585 -43.66623 NaN NaN 3.00621 NaN NaN 2.00000 cncl
175.14549 -41.14468 NaN NaN -3.42518 NaN NaN 4.50000 clim
178.04600 -38.41145 NaN NaN -1.15230 NaN NaN 9.80000 ahti
175.75430 -39.40740 NaN NaN 1.01908 NaN NaN 4.20000 vgmo
175.81083 -38.61102 NaN NaN -0.76062 NaN NaN 2.60000 tgtk
175.77015 -38.86337 NaN NaN 1.93289 NaN NaN 3.20000 tgra
175.71191 -38.67810 NaN NaN 0.23753 NaN NaN 3.10000 tghr
175.96291 -40.06158 NaN NaN -3.89709 NaN NaN 3.30000 takp
176.19418 -38.17662 NaN NaN -4.24894 NaN NaN 3.00000 rgut
176.50610 -38.23379 NaN NaN -11.64995 NaN NaN 4.70000 rgta
176.52120 -38.05728 NaN NaN -3.64539 NaN NaN 4.50000 rgre
176.46711 -38.13832 NaN NaN -17.24755 NaN NaN 3.10000 rgmk
176.38571 -38.00329 NaN NaN -2.74420 NaN NaN 2.60000 rgli
176.24408 -38.02008 NaN NaN -0.44484 NaN NaN 2.90000 rgka
176.28798 -38.38579 NaN NaN -8.85416 NaN NaN 4.30000 rghr
176.35229 -38.25192 NaN NaN -19.85064 NaN NaN 7.00000 rghl
176.34303 -38.56204 NaN NaN -3.05859 NaN NaN 4.30000 rgar
175.17040 -40.81650 NaN NaN -3.01703 NaN NaN 6.00000 otak
175.79069 -39.91829 NaN NaN 2.40626 NaN NaN 5.40000 ohin
177.06980 -39.17230 NaN NaN -5.77309 NaN NaN 22.40000 kuta
170.10551 -43.77733 NaN NaN 2.60395 NaN NaN 20.40000 horn
170.19014 -43.86249 NaN NaN 1.50206 NaN NaN 9.20000 bnet
176.13641 -38.61758 NaN NaN -5.36031 NaN NaN 6.20000 arta
175.59785 -39.32693 NaN NaN 0.22088 NaN NaN 4.90000 vgwn
175.58898 -39.28240 NaN NaN -0.17800 NaN NaN 7.00000 vgwh
175.60894 -39.27726 NaN NaN -0.47784 NaN NaN 7.10000 vgts
175.54831 -39.29841 NaN NaN -0.47847 NaN NaN 6.50000 vgtr
175.66514 -39.16307 NaN NaN -2.47487 NaN NaN 6.60000 vgot
175.54224 -39.19983 NaN NaN -1.57598 NaN NaN 4.40000 vgob
175.55269 -39.25515 NaN NaN -1.47736 NaN NaN 4.20000 vgfw
176.04747 -38.84584 NaN NaN 3.13374 NaN NaN 3.30000 tgoh
175.99633 -38.81286 NaN NaN -2.96549 NaN NaN 10.50000 tgho
176.21085 -38.35257 NaN NaN -16.15342 NaN NaN 10.70000 rgwv
176.23225 -38.25659 NaN NaN -17.75093 NaN NaN 8.20000 rgon
176.89617 -38.00320 NaN NaN 1.15654 NaN NaN 6.60000 rgaw
176.37012 -39.64315 NaN NaN -6.88599 NaN NaN 7.10000 kere
175.13650 -41.34050 NaN NaN -3.63002 NaN NaN 24.50000 bthl
175.83138 -39.74541 NaN NaN 3.61067 NaN NaN 6.30000 utku
175.93930 -38.67343 NaN NaN -2.26202 NaN NaN 3.90000 tgwh
176.37800 -38.10470 NaN NaN -4.34682 NaN NaN 3.80000 rgcr
175.64131 -39.09440 NaN NaN -1.87316 NaN NaN 4.40000 vgkr
174.91700 -41.23510 NaN NaN -2.52774 NaN NaN 2.70000 grac
176.20160 -40.90980 NaN NaN -4.61788 NaN NaN 5.90000 cast
