#lon lat ve vn vu se sn su name
170.59720 -45.88370 -29.23136 -13.09871 -1.66400 0.20497 0.21285 0.45100 dund
170.51090 -45.86950 -29.10260 -13.22700 -0.80500 0.17887 0.17896 0.41100 ousd
174.83439 -36.60280 0.53115 -1.00047 -1.00400 0.17552 0.17527 0.44300 auck
174.80590 -41.32348 -23.10027 -6.94185 -1.48900 0.30754 0.23067 0.52200 wgtn
174.66279 -36.43440 0.35748 -0.65910 -0.87900 0.22755 0.23538 0.58400 wark
172.65470 -43.70271 -32.63254 -11.80401 -2.68400 0.19504 0.21412 0.55900 mqzg
169.30825 -45.23100 -29.02084 -13.32402 -0.73200 0.25118 0.21060 0.57600 lexa
174.31460 -35.80380 0.63811 -0.37812 -1.75800 0.19385 0.19335 0.49100 whng
176.26090 -37.72880 0.99859 -1.67118 -0.98300 0.22917 0.21029 0.57800 trng
174.11820 -39.18255 -1.28091 -0.96182 -2.53300 0.22195 0.22507 0.56000 nply
174.85410 -38.51300 -0.70666 -0.69282 -1.78300 0.23092 0.21534 0.57600 maho
173.27310 -35.06890 0.03579 -0.37614 -1.38300 0.20431 0.20854 0.46500 ktia
170.98431 -42.71290 -3.31457 -1.14090 0.00500 0.20078 0.18739 0.50200 hoki
175.10920 -37.80680 -0.33482 -0.80501 -0.89300 0.21725 0.20611 0.53000 hamt
177.01389 -37.98169 3.75852 -12.31205 -2.16700 0.29280 0.25178 0.64700 whkt
174.78160 -41.29040 -21.08421 -5.82585 -1.05900 0.39121 0.31269 0.63400 wgtt
171.80621 -41.74472 -1.35476 -1.40007 -1.37100 0.32353 0.22137 0.45000 west
174.82142 -39.78689 -4.76710 -1.74971 -1.37000 0.31542 0.29556 0.52500 wang
170.92030 -44.65570 -30.32011 -12.74624 -1.18800 0.20728 0.20113 0.44700 waim
173.43371 -41.18350 -4.62339 -0.21796 -3.02500 0.58879 0.21554 0.58100 nlsn
175.58458 -41.06199 -26.08137 -10.88237 -4.52700 0.28568 0.25878 0.71700 mast
172.26631 -42.78339 -20.32621 -8.81299 -1.14100 0.35750 0.26395 0.63400 lkta
173.53366 -42.42548 -26.48461 -12.60989 0.99400 0.50101 0.36727 0.68900 kaik
178.30335 -37.56102 5.03892 -17.61334 -0.40000 0.26632 0.22613 0.56000 hikb
168.78555 -44.07320 -12.31760 -4.41258 0.85500 0.22131 0.28040 0.48900 haas
170.62940 -45.81431 -29.39809 -12.88908 -0.97600 0.22954 0.24086 0.54900 dunt
175.74958 -36.86541 1.31179 -0.56511 -0.50400 0.21195 0.20277 0.58100 corm
183.43416 -43.95579 -33.03236 -0.49038 -0.89800 0.22508 0.22852 0.52200 chat
168.29209 -46.58508 -27.17518 -14.01885 -1.09000 0.21443 0.19758 0.43100 bluf
176.08100 -38.74271 3.79977 -5.24395 0.88900 0.30755 0.30560 0.64000 taup
174.76990 -36.84360 0.57655 -0.45911 -0.30300 0.59777 0.46745 1.66200 takl
169.81582 -43.53168 -7.74150 -2.25733 0.33400 0.20138 0.20163 0.75700 quar
175.25479 -41.56921 -33.04935 -9.46810 -5.05800 0.23949 0.27032 0.69000 pali
172.72220 -43.60580 -32.83769 -12.30668 -1.53700 0.39247 0.50572 0.73700 lytt
172.52956 -40.82660 -1.17700 -0.53756 -1.40600 0.31943 0.24772 0.56100 gldb
177.07635 -39.65789 -5.81152 -16.50526 0.46100 0.81063 0.46894 0.66900 ckid
183.38288 -43.73547 -33.91121 -0.33007 -2.21500 0.21048 0.22460 0.48000 chti
174.93290 -41.19640 -21.52611 -6.03715 -1.41500 0.47899 0.38221 0.71200 avln
173.98420 -41.56066 -3.74474 1.07619 2.48900 0.45804 0.48665 0.74100 with
177.23440 -39.07720 1.10945 -17.76661 -1.43100 0.50603 0.41018 0.69400 wahu
175.47046 -39.38458 -1.63178 -1.87530 -0.92000 0.28759 0.29267 0.55100 vgmt
175.68790 -41.39800 -32.99171 -9.81502 -4.34700 0.21026 0.21569 0.53400 trav
174.28010 -41.19160 -10.54016 0.05967 -0.45800 0.53587 0.51953 0.91000 tory
175.89050 -41.10660 -28.27882 -11.13309 -3.56700 0.23798 0.27334 0.59300 tema
176.49251 -39.16552 1.66495 -11.70813 -0.99400 0.30163 0.27605 0.68300 ripa
176.55626 -37.84589 0.39946 -2.98208 0.93500 0.23779 0.22474 0.61200 rgop
176.72472 -37.91544 1.67665 -4.53487 1.31300 0.24122 0.31162 0.73600 rgmt
177.41540 -38.49556 1.84854 -16.50129 -0.54600 0.34954 0.32671 0.65300 rawi
166.68071 -46.16619 -23.79281 -12.17618 0.75200 0.28851 0.30435 0.59000 pygr
178.25740 -38.07140 5.99253 -18.64925 0.44800 0.28610 0.21012 0.54500 puke
176.63520 -40.26640 -16.98468 -13.93444 -2.08600 0.55390 0.28026 0.60700 pora
176.86390 -40.03310 -14.28687 -14.94471 -0.74600 0.63779 0.34664 0.61400 pawa
170.51091 -45.86947 -29.25362 -13.17199 -1.22600 0.19937 0.20135 0.44300 ous2
177.30760 -38.04650 3.20662 -14.69049 -2.22500 0.25131 0.23631 0.55600 optk
174.06030 -41.01930 -8.28028 2.13086 -1.52700 0.74262 0.54541 0.78200 okoh
170.46493 -43.98570 -27.43254 -12.43439 -0.05500 0.18879 0.18983 0.50900 mtjo
168.11820 -45.36651 -27.94954 -11.97781 -0.69400 0.28600 0.21963 0.60800 mavl
177.90700 -39.15258 -1.25064 -21.78401 0.47700 1.62034 0.66543 0.57000 mahi
176.93670 -39.33230 -1.10809 -16.07276 -3.27000 0.59585 0.29797 0.70500 leyl
175.24060 -40.58880 -15.36670 -4.12073 -4.35800 0.79159 0.52956 0.84900 levn
175.42405 -40.40930 -13.65995 -5.22430 -4.73100 0.58979 0.39609 0.75100 koro
177.66780 -39.01610 -1.39381 -21.14225 -1.79700 0.66782 0.32882 0.50300 koko
174.90980 -40.86090 -16.81114 -3.77869 -4.18800 0.43008 0.39010 0.76200 kapt
176.87630 -39.79380 -8.82571 -12.90772 -1.25200 0.72869 0.28220 0.58900 kahu
176.72658 -39.61701 -5.78616 -13.46803 -5.16900 0.57886 0.29400 0.58900 hast
175.23810 -40.08030 -10.26055 -4.20974 -3.32000 0.34433 0.41193 0.65700 gnbk
177.88601 -38.63532 -5.27603 -15.98211 -2.32600 0.43330 0.26748 0.61300 gisb
173.92160 -40.80180 -8.24281 -0.27186 -2.02300 0.43704 0.26484 0.56500 durv
176.16666 -40.29886 -17.30231 -9.65950 -3.69800 0.43411 0.31281 0.69000 dnvk
174.21380 -41.74900 -20.48253 -6.47511 2.43700 0.55487 0.39311 0.73000 cmbl
