#lon lat ve vn vu se sn su name
170.59720 -45.88370 -28.90373 -14.03698 NaN 0.48326 0.48129 NaN dund
170.59720 -45.88370 -29.10374 -13.26699 NaN 0.48326 0.48129 NaN dund
170.51090 -45.86950 -28.99457 -13.33820 NaN 0.39308 0.38594 NaN ousd
169.30825 -45.23100 -28.26911 -12.45187 NaN 0.57985 0.50058 NaN lexa
170.62940 -45.81431 -28.79330 -14.36417 NaN 0.46411 0.46206 NaN dunt
168.78555 -44.07320 -12.78996 -4.32350 NaN 0.42606 0.45248 NaN haas
170.62940 -45.81431 -28.83332 -12.36418 NaN 0.46411 0.46206 NaN dunt
170.04809 -45.78191 -32.27292 -11.74497 NaN 5.50171 5.93142 NaN e2k3
169.76638 -45.97028 -31.97728 -13.12218 NaN 2.18430 1.49565 NaN dqyr
170.04809 -45.78191 -29.35292 -12.30497 NaN 5.50171 5.93142 NaN e2k3
169.76638 -45.97028 -28.89728 -12.40218 NaN 2.18430 1.49565 NaN dqyr
169.42533 -45.67637 -31.97817 -13.02011 NaN 3.97236 5.03168 NaN dqyq
169.35455 -44.93327 -31.01852 -12.33014 NaN 2.64355 2.07407 NaN dqyp
169.61548 -45.10690 -32.48926 -12.29855 NaN 1.81517 1.76478 NaN dqyn
169.62900 -45.26284 -32.18222 -12.33894 NaN 2.60361 2.93288 NaN dqym
169.97852 -45.04760 -31.80823 -13.25473 NaN 2.06455 1.22689 NaN dqyl
169.80312 -45.47854 -33.05948 -12.81708 NaN 3.40276 2.44345 NaN dqyk
170.06689 -45.28491 -33.83152 -12.25238 NaN 7.35128 4.50187 NaN dqyj
170.21600 -45.38304 -32.55562 -13.16729 NaN 5.31177 3.66230 NaN dqyh
170.32169 -45.46702 -32.39697 -12.70260 NaN 2.80335 1.64513 NaN dqyg
170.51726 -45.37091 -31.95365 -12.34432 NaN 5.92158 1.21695 NaN dqyf
169.20610 -44.28609 -28.14838 -11.75371 NaN 3.75250 4.58184 NaN dpx3
169.30232 -44.74860 -31.02379 -12.60656 NaN 1.45645 0.91922 NaN dme5
169.90345 -44.93835 -32.46420 -12.30752 NaN 1.07873 0.90932 NaN dme3
170.12325 -45.56568 -33.02008 -12.01239 NaN 2.14438 1.11757 NaN dme1
169.16980 -45.08040 -29.82941 -11.50786 NaN 3.24289 0.92912 NaN e2k4
169.42533 -45.67637 -29.46818 -12.07011 NaN 3.97236 5.03168 NaN dqyq
169.35455 -44.93327 -29.32854 -11.83015 NaN 2.64355 2.07407 NaN dqyp
169.61548 -45.10690 -29.43928 -11.33856 NaN 1.81517 1.76478 NaN dqyn
169.62900 -45.26284 -29.29222 -11.80894 NaN 2.60361 2.93288 NaN dqym
169.97852 -45.04760 -29.30824 -11.94474 NaN 2.06455 1.22689 NaN dqyl
169.80312 -45.47854 -28.93948 -12.35709 NaN 3.40276 2.44345 NaN dqyk
170.06689 -45.28491 -29.21152 -11.79239 NaN 7.35128 4.50187 NaN dqyj
170.21600 -45.38304 -29.46563 -12.10730 NaN 5.31177 3.66230 NaN dqyh
170.32169 -45.46702 -30.51697 -12.26261 NaN 2.80335 1.64513 NaN dqyg
170.51726 -45.37091 -30.70366 -8.83433 NaN 5.92158 1.21695 NaN dqyf
169.20610 -44.28609 -22.31839 -8.49371 NaN 3.75250 4.58184 NaN dpx3
169.30232 -44.74860 -27.22379 -11.13656 NaN 1.45645 0.91922 NaN dme5
169.90345 -44.93835 -28.62420 -11.79753 NaN 1.07873 0.90932 NaN dme3
170.12325 -45.56568 -28.51009 -12.10240 NaN 2.14438 1.11757 NaN dme1
169.25068 -44.19470 -4.29154 -0.20298 NaN 6.55143 6.32133 NaN aady
169.00359 -43.86082 -7.73400 -1.93395 NaN 1.76532 1.81465 NaN 6731
169.68411 -45.03834 -30.00755 -13.82078 NaN 0.57499 0.54902 NaN ldrz
170.12120 -46.14650 -29.44127 -10.59311 NaN 7.40127 2.81300 NaN ecfh
170.08120 -46.20190 -24.07003 -19.47120 NaN 5.84161 3.23261 NaN ecfg
169.32070 -45.47390 -28.84993 -12.00295 NaN 5.56169 2.15392 NaN e2k6
169.25068 -44.19470 -23.05156 -9.66299 NaN 6.55143 6.32133 NaN aady
169.00359 -43.86082 -6.85401 -1.98395 NaN 1.76532 1.81465 NaN 6731
170.21746 -46.05651 -29.07495 -12.84542 NaN 1.43654 0.75131 NaN em6l
170.70018 -44.98252 -31.01130 -12.59491 NaN 2.24418 2.33362 NaN eebp
170.53420 -44.80707 -31.09042 -13.16300 NaN 1.28731 0.86975 NaN eebn
170.24890 -44.61759 -31.17680 -13.45503 NaN 5.77163 5.57151 NaN eebm
169.86690 -44.54377 -29.43364 -12.25360 NaN 2.46381 1.25673 NaN eebl
169.49640 -44.69768 -29.24671 -12.72194 NaN 1.38678 1.19706 NaN eebk
168.75572 -45.12799 -30.59291 -12.57264 NaN 2.05457 1.25673 NaN eebj
168.70860 -45.45650 -31.02674 -11.61451 NaN 2.44384 0.76116 NaN eebh
168.82119 -45.91301 -30.86945 -12.79680 NaN 1.79523 0.75131 NaN eebg
169.37308 -46.12972 -30.10331 -12.54582 NaN 0.51692 0.52476 NaN eebf
170.85798 -45.35703 -31.53297 -12.47200 NaN 2.41389 2.19385 NaN dy3p
168.54036 -44.11938 -11.90983 -4.73112 NaN 3.81246 1.23684 NaN a31r
170.21746 -46.05651 -29.07495 -12.84542 NaN 1.43654 0.75131 NaN em6l
170.21837 -46.05589 -34.62505 -19.07479 NaN 1.46641 6.73125 NaN ecfk
170.15049 -46.16310 -32.60911 -10.83248 NaN 6.03156 3.24260 NaN ecfj
170.85798 -45.35703 -28.89298 -11.94200 NaN 2.41389 2.19385 NaN dy3p
169.04498 -43.88000 -6.84334 -0.98541 NaN 2.08450 2.04413 NaN b8nc
169.04636 -43.86093 -6.66079 -3.52448 NaN 5.77163 2.70312 NaN b8na
169.39962 -43.99913 -23.20823 -6.82002 NaN 4.90191 7.04120 NaN b8lg
169.23993 -43.96076 -17.07099 -6.40071 NaN 0.47847 0.39066 NaN b8kt
169.14439 -43.94258 -15.76992 -4.83676 NaN 2.79336 8.39100 NaN b8kf
169.38411 -44.38171 -24.97034 -10.58032 NaN 1.76532 0.97865 NaN aa8v
168.54036 -44.11938 -6.99984 -2.67112 NaN 3.81246 1.23684 NaN a31r
169.41631 -44.31289 -24.83879 -11.39806 NaN 6.51144 1.41597 NaN a07h
169.07449 -43.91096 -10.98786 -4.56503 NaN 1.23760 3.97212 NaN a071
169.35868 -44.10025 -22.49351 -9.05830 NaN 1.61582 1.47572 NaN a00f
170.25273 -46.00028 -28.81979 -12.56062 NaN 0.63343 0.59284 NaN sc05
170.08678 -45.96627 -28.78399 -13.30755 NaN 0.67406 0.59284 NaN sc04
170.01286 -46.05740 -27.80702 -14.94938 NaN 0.72309 0.66132 NaN sc03
170.01351 -46.16295 -28.93503 -13.80879 NaN 0.59930 0.57821 NaN sc02
168.08965 -44.43158 -15.85221 -3.68682 NaN 2.12442 2.91290 NaN emyu
168.08881 -44.33111 -11.98757 -1.91751 NaN 2.37395 4.30196 NaN emyt
168.26292 -44.32801 -13.62442 -4.76961 NaN 2.60361 6.38132 NaN emyr
