#lon lat ve vn vu se sn su name
174.83439 -36.60280 NaN NaN -0.22000 NaN NaN 0.15000 auck
174.80590 -41.32348 NaN NaN -2.31000 NaN NaN 0.24000 wgtn
174.78160 -41.29040 NaN NaN -2.83000 NaN NaN 0.33000 wgtt
170.62940 -45.81431 NaN NaN -0.94000 NaN NaN 0.20000 dunt
183.43416 -43.95579 NaN NaN -0.41000 NaN NaN 0.32000 chat
174.76990 -36.84360 NaN NaN -0.21000 NaN NaN 0.27000 takl
172.72220 -43.60580 NaN NaN -1.53000 NaN NaN 0.20000 lytt
183.38288 -43.73547 NaN NaN -2.17000 NaN NaN 0.52000 chti
170.51091 -45.86947 NaN NaN -0.57000 NaN NaN 0.18000 ous2
147.05569 -19.26928 NaN NaN -1.44000 NaN NaN 0.26000 tow2
117.09719 -20.98143 NaN NaN -1.48000 NaN NaN 0.28000 karr
147.43874 -42.80471 NaN NaN -0.67000 NaN NaN 0.35000 hob2
133.80983 -31.86666 NaN NaN -0.28000 NaN NaN 0.35000 cedu
133.88552 -23.67012 NaN NaN -0.55000 NaN NaN 0.50000 alic
148.98000 -35.39920 NaN NaN 0.22000 NaN NaN 0.23000 tidb
151.15038 -33.78087 NaN NaN -0.89000 NaN NaN 0.65000 sydn
116.19272 -31.04873 NaN NaN -0.18000 NaN NaN 0.33000 nnor
144.97534 -37.82941 NaN NaN -0.99000 NaN NaN 0.18000 mobs
164.28734 -20.55869 NaN NaN -0.63000 NaN NaN 0.21000 kouc
131.13274 -12.84370 NaN NaN -0.54000 NaN NaN 0.24000 darw
138.64735 -34.72900 NaN NaN -0.95000 NaN NaN 0.28000 ade1
210.39381 -17.57702 NaN NaN -0.45000 NaN NaN 0.19000 tah1
115.88525 -31.80196 NaN NaN -2.98000 NaN NaN 0.34000 pert
166.48489 -22.22832 NaN NaN -1.50000 NaN NaN 0.47000 nrmd
166.41020 -22.26984 NaN NaN 0.63000 NaN NaN 0.51000 noum
210.38570 -17.55531 NaN NaN -0.87000 NaN NaN 0.62000 faa1
96.83397 -12.18834 NaN NaN 0.79000 NaN NaN 0.27000 coco
115.34697 -29.04658 NaN NaN -0.13000 NaN NaN 0.28000 yarr
168.31514 -17.74397 NaN NaN -4.09000 NaN NaN 0.67000 vanu
210.39355 -17.57706 NaN NaN -0.53000 NaN NaN 0.41000 thti
210.39381 -17.57703 NaN NaN -1.39000 NaN NaN 0.36000 tah2
210.42728 -17.53308 NaN NaN -2.16000 NaN NaN 0.42000 pape
250.65560 -27.12498 NaN NaN -0.50000 NaN NaN 0.25000 ispa
250.61671 -27.14821 NaN NaN -0.72000 NaN NaN 0.60000 eisl
