#lon lat ve vn vu se sn su name
170.59720 -45.88370 NaN NaN -1.00000 NaN NaN 0.60000 dund
170.51090 -45.86950 NaN NaN 0.50000 NaN NaN 0.30000 ousd
174.83439 -36.60280 NaN NaN 0.00000 NaN NaN 0.20000 auck
172.65470 -43.70271 NaN NaN -0.80000 NaN NaN 0.20000 mqzg
174.80590 -41.32348 NaN NaN -2.00000 NaN NaN 0.20000 wgtn
174.66279 -36.43440 NaN NaN -0.70000 NaN NaN 0.70000 wark
170.98431 -42.71290 NaN NaN 0.30000 NaN NaN 0.20000 hoki
175.10920 -37.80680 NaN NaN 0.50000 NaN NaN 0.20000 hamt
174.85410 -38.51300 NaN NaN -1.30000 NaN NaN 0.30000 maho
176.26090 -37.72880 NaN NaN 0.50000 NaN NaN 0.40000 trng
174.31460 -35.80380 NaN NaN 0.30000 NaN NaN 0.20000 whng
173.27310 -35.06890 NaN NaN -0.30000 NaN NaN 0.40000 ktia
183.43416 -43.95579 NaN NaN 0.20000 NaN NaN 0.30000 chat
171.80621 -41.74472 NaN NaN -0.80000 NaN NaN 0.30000 west
168.29209 -46.58508 NaN NaN 0.40000 NaN NaN 0.70000 bluf
170.92030 -44.65570 NaN NaN 0.20000 NaN NaN 0.40000 waim
173.53366 -42.42548 NaN NaN -1.00000 NaN NaN 0.30000 kaik
173.43371 -41.18350 NaN NaN -1.10000 NaN NaN 0.30000 nlsn
174.82142 -39.78689 NaN NaN 0.00000 NaN NaN 0.20000 wang
178.30335 -37.56102 NaN NaN 0.00000 NaN NaN 0.20000 hikb
177.01389 -37.98169 NaN NaN -0.30000 NaN NaN 0.40000 whkt
175.74958 -36.86541 NaN NaN 0.00000 NaN NaN 0.20000 corm
183.38288 -43.73547 NaN NaN -1.00000 NaN NaN 0.60000 chti
169.81582 -43.53168 NaN NaN 0.30000 NaN NaN 0.50000 quar
174.93290 -41.19640 NaN NaN -0.90000 NaN NaN 0.50000 avln
175.25479 -41.56921 NaN NaN -3.70000 NaN NaN 0.60000 pali
177.07635 -39.65789 NaN NaN 1.60000 NaN NaN 0.30000 ckid
166.68071 -46.16619 NaN NaN 0.80000 NaN NaN 1.50000 pygr
174.21380 -41.74900 NaN NaN 0.90000 NaN NaN 0.20000 cmbl
173.98420 -41.56066 NaN NaN 0.20000 NaN NaN 0.60000 with
174.28010 -41.19160 NaN NaN 1.30000 NaN NaN 0.50000 tory
174.06030 -41.01930 NaN NaN 0.70000 NaN NaN 0.60000 okoh
173.92160 -40.80180 NaN NaN -1.20000 NaN NaN 0.30000 durv
175.23810 -40.08030 NaN NaN -2.30000 NaN NaN 0.40000 gnbk
175.42405 -40.40930 NaN NaN -4.20000 NaN NaN 0.40000 koro
175.24060 -40.58880 NaN NaN -4.50000 NaN NaN 0.40000 levn
174.90980 -40.86090 NaN NaN -2.10000 NaN NaN 2.20000 kapt
175.68790 -41.39800 NaN NaN -3.90000 NaN NaN 0.30000 trav
175.89050 -41.10660 NaN NaN -3.10000 NaN NaN 0.30000 tema
176.24610 -40.67980 NaN NaN -4.10000 NaN NaN 0.20000 birf
176.46120 -40.53980 NaN NaN -3.30000 NaN NaN 0.20000 akto
176.63520 -40.26640 NaN NaN -2.70000 NaN NaN 0.60000 pora
176.86390 -40.03310 NaN NaN 0.50000 NaN NaN 0.80000 pawa
176.87630 -39.79380 NaN NaN -0.70000 NaN NaN 0.40000 kahu
176.93670 -39.33230 NaN NaN -2.30000 NaN NaN 0.40000 leyl
177.23440 -39.07720 NaN NaN -1.10000 NaN NaN 0.50000 wahu
177.66780 -39.01610 NaN NaN -0.10000 NaN NaN 0.30000 koko
177.90700 -39.15258 NaN NaN 0.50000 NaN NaN 0.60000 mahi
177.88601 -38.63532 NaN NaN -1.10000 NaN NaN 0.60000 gisb
178.25740 -38.07140 NaN NaN 1.60000 NaN NaN 0.30000 puke
177.30760 -38.04650 NaN NaN -1.20000 NaN NaN 0.70000 optk
176.72472 -37.91544 NaN NaN 7.70000 NaN NaN 0.90000 rgmt
176.55626 -37.84589 NaN NaN 3.20000 NaN NaN 0.40000 rgop
174.95210 -41.02180 NaN NaN -0.70000 NaN NaN 0.40000 paek
177.88330 -38.92260 NaN NaN -3.40000 NaN NaN 0.60000 pari
178.21110 -38.48800 NaN NaN -0.10000 NaN NaN 0.50000 cnst
178.40870 -37.82500 NaN NaN 0.10000 NaN NaN 0.60000 wmat
175.17040 -40.81650 NaN NaN -1.30000 NaN NaN 1.50000 otak
177.06980 -39.17230 NaN NaN -0.30000 NaN NaN 0.80000 kuta
175.13650 -41.34050 NaN NaN -3.90000 NaN NaN 1.20000 bthl
176.20160 -40.90980 NaN NaN -3.10000 NaN NaN 0.50000 cast
172.52960 -40.82660 NaN NaN -0.90000 NaN NaN 0.30000 glob
