#lon lat ve vn vu se sn su name
170.59720 -45.88370 -29.26936 -12.52724 NaN 0.65760 0.66923 NaN dund
170.59720 -45.88370 -30.56936 -13.00724 NaN 0.44636 0.46332 NaN dund
170.51090 -45.86950 -28.75026 -12.86847 NaN 0.46523 0.48153 NaN ousd
170.51090 -45.86950 -29.28026 -12.83847 NaN 0.30073 0.32537 NaN ousd
169.30825 -45.23100 -29.20477 -13.42129 NaN 0.61874 0.63108 NaN lexa
169.30825 -45.23100 -27.58477 -12.34129 NaN 0.42759 0.44527 NaN lexa
170.04809 -45.78191 -28.41861 -12.57512 NaN 0.83381 2.02945 NaN e2k3
169.76638 -45.97028 -27.97289 -12.73254 NaN 0.91260 1.17638 NaN dqyr
170.04809 -45.78191 -29.16861 -12.10512 NaN 0.57038 1.02877 NaN e2k3
169.76638 -45.97028 -28.71289 -12.20254 NaN 0.58003 0.67880 NaN dqyr
169.16980 -45.08040 -27.76503 -12.02710 NaN 1.11033 0.86248 NaN e2k4
169.42533 -45.67637 -28.21384 -12.55015 NaN 0.85349 1.23558 NaN dqyq
169.35455 -44.93327 -27.69415 -11.92920 NaN 0.77488 0.76542 NaN dqyp
169.61548 -45.10690 -28.13493 -11.49785 NaN 0.95207 0.88197 NaN dqyn
169.62900 -45.26284 -28.00794 -12.09844 NaN 0.77488 0.80416 NaN dqym
169.97852 -45.04760 -28.24393 -12.07399 NaN 1.26903 0.94057 NaN dqyl
169.80312 -45.47854 -27.79522 -12.65688 NaN 0.91260 0.97973 NaN dqyk
170.06689 -45.28491 -28.20720 -11.96190 NaN 1.38825 0.88197 NaN dqyj
170.21600 -45.38304 -28.52134 -12.26694 NaN 1.92594 1.91004 NaN dqyh
170.32169 -45.46702 -29.63266 -12.41235 NaN 1.40813 1.27510 NaN dqyg
170.51726 -45.37091 -29.16932 -11.58393 NaN 1.13015 0.99933 NaN dqyf
169.20610 -44.28609 -22.13405 -9.74201 NaN 0.95207 0.90148 NaN dpx3
169.30232 -44.74860 -26.64948 -12.06545 NaN 0.77488 0.72682 NaN dme5
169.90345 -44.93835 -28.28980 -12.61659 NaN 0.75527 0.84301 NaN dme3
170.12325 -45.56568 -28.14572 -12.91224 NaN 0.77488 0.96014 NaN dme1
169.16980 -45.08040 -29.64503 -11.30710 NaN 0.66734 0.60263 NaN e2k4
170.12120 -46.14650 -27.54697 -10.99371 NaN 1.76648 0.96014 NaN ecfh
170.08120 -46.20190 -26.92571 -10.94185 NaN 1.36837 1.47305 NaN ecfg
169.32070 -45.47390 -27.07557 -12.63270 NaN 0.83381 1.37400 NaN e2k6
170.12120 -46.14650 -29.25697 -10.39371 NaN 0.94220 1.03859 NaN ecfh
170.08120 -46.20190 -23.88571 -19.27185 NaN 3.82299 4.53422 NaN ecfg
169.32070 -45.47390 -29.41557 -11.80270 NaN 0.73569 0.81386 NaN e2k6
170.70018 -44.98252 -29.62699 -12.37403 NaN 1.48770 1.19611 NaN eebp
170.53420 -44.80707 -30.22605 -12.53195 NaN 1.42802 1.13696 NaN eebn
170.24890 -44.61759 -30.83246 -13.35374 NaN 1.94588 1.79072 NaN eebm
169.86690 -44.54377 -28.60928 -12.19223 NaN 2.14533 1.25534 NaN eebl
169.49640 -44.69768 -27.97234 -12.14075 NaN 1.74655 1.51270 NaN eebk
168.75572 -45.12799 -28.20860 -11.70200 NaN 1.52749 1.55237 NaN eebj
168.70860 -45.45650 -28.15243 -10.79426 NaN 2.34487 1.05824 NaN eebh
168.82119 -45.91301 -28.82514 -11.80709 NaN 1.44791 1.03859 NaN eebg
169.37308 -46.12972 -27.66901 -11.92637 NaN 1.66686 1.05824 NaN eebf
170.21837 -46.05589 -26.94070 -9.54525 NaN 2.72419 2.28838 NaN ecfk
170.15049 -46.16310 -27.22478 -11.07309 NaN 1.46780 1.09757 NaN ecfj
170.22790 -45.20290 -24.46871 -9.53855 NaN 0.77488 0.92101 NaN dme2
