#lon lat ve vn vu se sn su name
172.26631 -42.78339 NaN NaN 1.17000 NaN NaN 0.22958 h22_208
172.26631 -42.78339 NaN NaN 1.17000 NaN NaN 0.22958 h22_207
172.78775 -42.39825 NaN NaN 0.28000 NaN NaN 0.56000 h22_168
172.78775 -42.39825 NaN NaN 0.98000 NaN NaN 0.60000 h22_167
172.82430 -43.07790 NaN NaN -0.03000 NaN NaN 0.94000 h22_163
172.82430 -43.07790 NaN NaN -0.03000 NaN NaN 0.94000 h22_162
174.11820 -39.18255 NaN NaN -0.53000 NaN NaN 0.17326 h22_107
174.11820 -39.18255 NaN NaN -0.53000 NaN NaN 0.17326 h22_106
174.76990 -36.84360 NaN NaN -1.28000 NaN NaN 0.16422 h22_97
174.76990 -36.84360 NaN NaN -1.28000 NaN NaN 0.22719 h22_96
174.95210 -41.02180 NaN NaN -1.12000 NaN NaN 0.13415 h22_87
174.95210 -41.02180 NaN NaN -1.12000 NaN NaN 0.13415 h22_86
175.58458 -41.06199 NaN NaN -0.72000 NaN NaN 1.55580 h22_66
175.58458 -41.06199 NaN NaN -3.80000 NaN NaN 0.46781 h22_65
166.68071 -46.16619 NaN NaN 1.55000 NaN NaN 0.52909 h22_253
168.11820 -45.36651 NaN NaN -0.16000 NaN NaN 0.28432 h22_252
168.29209 -46.58508 NaN NaN -0.62000 NaN NaN 0.25991 h22_251
168.78555 -44.07320 NaN NaN 1.17000 NaN NaN 0.25933 h22_250
169.30825 -45.23100 NaN NaN -0.11000 NaN NaN 0.25494 h22_249
169.68411 -45.03834 NaN NaN -0.15000 NaN NaN 0.34174 h22_248
169.73677 -43.64298 NaN NaN -0.07000 NaN NaN 0.23635 h22_247
169.77516 -43.60839 NaN NaN 1.07000 NaN NaN 0.15843 h22_246
169.81582 -43.53168 NaN NaN 1.52000 NaN NaN 0.18985 h22_245
169.85252 -43.72079 NaN NaN 3.80000 NaN NaN 0.28000 h22_244
169.85585 -43.66623 NaN NaN 3.23000 NaN NaN 0.25425 h22_243
169.88531 -43.58403 NaN NaN 1.23000 NaN NaN 0.14635 h22_242
169.89321 -43.63770 NaN NaN 4.14000 NaN NaN 0.14844 h22_241
169.92106 -43.70206 NaN NaN 4.59000 NaN NaN 0.43000 h22_240
169.92154 -43.66059 NaN NaN 3.44000 NaN NaN 0.14636 h22_239
170.06122 -43.75612 NaN NaN 2.39000 NaN NaN 0.14848 h22_238
170.10551 -43.77733 NaN NaN 4.74000 NaN NaN 0.17553 h22_237
170.19014 -43.86249 NaN NaN 2.86000 NaN NaN 0.17828 h22_236
170.35053 -43.33641 NaN NaN 3.12000 NaN NaN 0.22733 h22_235
170.46493 -43.98570 NaN NaN -0.22000 NaN NaN 0.18470 h22_234
170.51090 -45.86950 NaN NaN -0.62000 NaN NaN 0.16274 h22_233
170.59720 -45.88370 NaN NaN -1.51000 NaN NaN 0.29289 h22_232
170.62940 -45.81431 NaN NaN -1.25000 NaN NaN 0.14216 h22_231
170.92030 -44.65570 NaN NaN -1.05000 NaN NaN 0.26433 h22_230
170.98431 -42.71290 NaN NaN -1.83000 NaN NaN 0.17655 h22_229
171.14450 -42.55820 NaN NaN -1.65000 NaN NaN 0.44000 h22_228
171.31710 -42.24550 NaN NaN 2.60000 NaN NaN 1.23982 h22_227
171.44360 -42.72380 NaN NaN -1.44000 NaN NaN 0.55000 h22_226
171.46620 -41.74910 NaN NaN -1.77000 NaN NaN 0.46000 h22_225
171.48250 -42.74450 NaN NaN -0.87000 NaN NaN 0.56000 h22_224
171.57530 -43.59135 NaN NaN -0.62000 NaN NaN 0.23760 h22_223
171.66530 -42.29030 NaN NaN -1.38000 NaN NaN 0.65000 h22_222
171.68340 -42.45050 NaN NaN -2.76000 NaN NaN 1.17000 h22_221
171.80430 -42.55530 NaN NaN -0.27000 NaN NaN 0.59000 h22_220
171.80621 -41.74472 NaN NaN -1.19000 NaN NaN 0.22814 h22_219
171.85400 -42.09550 NaN NaN -1.19000 NaN NaN 0.41000 h22_218
171.90640 -41.87690 NaN NaN -0.38000 NaN NaN 0.46000 h22_217
172.02050 -42.45600 NaN NaN 0.09000 NaN NaN 1.55000 h22_216
172.06350 -41.58350 NaN NaN -1.66000 NaN NaN 0.35000 h22_215
172.10810 -41.16840 NaN NaN -1.83000 NaN NaN 0.81000 h22_214
172.11730 -41.72940 NaN NaN -2.59000 NaN NaN 0.37000 h22_213
172.11840 -42.02950 NaN NaN -2.04000 NaN NaN 0.37000 h22_212
172.19950 -42.31190 NaN NaN -1.62000 NaN NaN 1.07000 h22_211
172.23670 -42.14800 NaN NaN 2.79000 NaN NaN 1.09000 h22_210
172.23910 -41.40590 NaN NaN -0.76000 NaN NaN 0.62000 h22_209
172.27990 -41.72170 NaN NaN -3.02000 NaN NaN 0.35000 h22_206
172.28040 -40.87260 NaN NaN -0.03000 NaN NaN 0.75000 h22_205
172.31120 -41.06280 NaN NaN -1.07000 NaN NaN 0.62000 h22_204
172.32040 -43.08330 NaN NaN -0.31000 NaN NaN 0.36000 h22_203
172.35910 -41.82090 NaN NaN -1.81000 NaN NaN 0.38000 h22_202
172.37500 -42.53100 NaN NaN 1.77000 NaN NaN 0.74000 h22_201
172.37630 -42.58540 NaN NaN 0.87000 NaN NaN 0.41314 h22_200
172.37890 -41.24080 NaN NaN -0.82000 NaN NaN 0.64000 h22_199
172.38350 -40.68790 NaN NaN -1.80000 NaN NaN 0.54000 h22_198
172.39380 -42.47480 NaN NaN 1.93000 NaN NaN 1.08000 h22_197
172.40070 -42.37920 NaN NaN 1.81000 NaN NaN 0.64000 h22_196
172.49950 -41.72910 NaN NaN -3.45000 NaN NaN 0.95000 h22_195
172.50280 -42.89420 NaN NaN -1.31000 NaN NaN 0.32000 h22_194
172.50860 -41.42450 NaN NaN -0.40000 NaN NaN 0.41000 h22_193
172.51590 -42.00840 NaN NaN 1.30000 NaN NaN 0.71000 h22_192
172.51800 -42.25690 NaN NaN 0.72000 NaN NaN 0.65000 h22_191
172.52956 -40.82660 NaN NaN -0.97000 NaN NaN 0.18093 h22_190
172.54130 -41.55200 NaN NaN -0.11000 NaN NaN 0.34000 h22_189
172.54500 -42.59570 NaN NaN 0.59000 NaN NaN 0.67000 h22_188
172.54840 -43.11770 NaN NaN -1.22000 NaN NaN 0.36000 h22_187
172.60310 -41.03480 NaN NaN -1.03000 NaN NaN 0.64000 h22_186
172.62130 -40.87670 NaN NaN -3.65000 NaN NaN 0.57000 h22_185
172.64260 -42.74430 NaN NaN -0.54000 NaN NaN 0.37000 h22_184
172.65000 -42.05320 NaN NaN 1.19000 NaN NaN 0.92000 h22_183
172.65470 -43.70271 NaN NaN -0.01000 NaN NaN 0.17592 h22_182
172.67220 -40.71300 NaN NaN -0.66000 NaN NaN 0.80000 h22_181
172.68170 -41.21790 NaN NaN -1.18000 NaN NaN 1.03000 h22_180
172.69120 -41.10910 NaN NaN -1.67000 NaN NaN 0.42000 h22_179
172.69250 -42.83800 NaN NaN -0.59000 NaN NaN 1.22000 h22_178
172.69290 -42.98740 NaN NaN -1.24000 NaN NaN 0.34000 h22_177
172.70980 -40.51200 NaN NaN -1.51000 NaN NaN 0.62000 h22_176
172.72220 -43.60580 NaN NaN -0.81000 NaN NaN 0.18071 h22_175
172.74620 -42.21250 NaN NaN 0.21000 NaN NaN 0.52000 h22_174
172.76220 -41.69860 NaN NaN -3.43000 NaN NaN 2.61000 h22_173
172.77330 -42.30370 NaN NaN 0.25000 NaN NaN 0.58000 h22_172
172.77520 -42.66176 NaN NaN -1.35000 NaN NaN 0.46586 h22_171
172.77640 -42.58330 NaN NaN -0.36000 NaN NaN 0.60000 h22_170
172.78200 -41.77590 NaN NaN 0.34000 NaN NaN 0.91000 h22_169
172.79279 -42.55283 NaN NaN -0.40000 NaN NaN 0.47384 h22_166
172.80050 -42.68890 NaN NaN -1.94000 NaN NaN 0.86000 h22_165
172.81300 -42.90710 NaN NaN -3.24000 NaN NaN 0.58000 h22_164
172.82530 -42.47690 NaN NaN 0.64000 NaN NaN 0.59000 h22_161
172.82770 -41.52530 NaN NaN -2.49000 NaN NaN 0.94000 h22_160
172.85040 -40.93420 NaN NaN -2.61000 NaN NaN 1.04000 h22_159
172.93550 -42.47350 NaN NaN 1.91000 NaN NaN 0.37000 h22_158
172.96049 -41.03368 NaN NaN -2.09000 NaN NaN 0.49742 h22_157
172.98450 -41.33300 NaN NaN -1.52000 NaN NaN 0.49000 h22_156
172.99450 -41.12380 NaN NaN -0.85000 NaN NaN 0.73000 h22_155
173.01030 -42.68740 NaN NaN -0.87000 NaN NaN 0.54000 h22_154
173.01380 -42.32040 NaN NaN 0.93000 NaN NaN 0.99000 h22_153
173.02570 -42.78610 NaN NaN -1.12000 NaN NaN 0.38000 h22_152
173.05790 -41.62680 NaN NaN -1.70000 NaN NaN 0.58000 h22_151
173.07530 -42.19720 NaN NaN -0.58000 NaN NaN 0.58000 h22_150
173.08000 -41.90400 NaN NaN 0.49000 NaN NaN 0.32000 h22_149
173.11650 -42.92610 NaN NaN -1.18000 NaN NaN 0.50000 h22_148
173.13160 -41.49270 NaN NaN -2.29000 NaN NaN 1.17000 h22_147
173.19400 -42.48830 NaN NaN 0.22000 NaN NaN 0.53000 h22_146
173.21570 -41.30100 NaN NaN -1.99000 NaN NaN 0.52000 h22_145
173.22410 -42.27190 NaN NaN 0.74000 NaN NaN 0.39000 h22_144
173.23110 -42.84380 NaN NaN -1.07000 NaN NaN 0.49000 h22_143
173.24810 -42.41600 NaN NaN -0.93000 NaN NaN 0.52000 h22_142
173.27310 -35.06890 NaN NaN -1.32000 NaN NaN 0.23604 h22_141
173.34600 -41.95830 NaN NaN 2.53000 NaN NaN 0.50000 h22_140
173.34760 -41.62550 NaN NaN 0.77000 NaN NaN 0.75000 h22_139
173.37160 -42.03200 NaN NaN -0.10000 NaN NaN 0.55000 h22_138
173.37350 -42.61580 NaN NaN -2.43000 NaN NaN 0.96000 h22_137
173.39510 -41.70010 NaN NaN -1.29000 NaN NaN 0.34000 h22_136
