NASA MEaSUREs project: Extended Solid Earth Science ESDR System (ESESES)
Station velocities and uncertainties 
Derived from daily displacement time series - combined product (weighted mean)
Uncertainties include the effects of colored noise in daily time series
The north, east and up velocities are assumed to be uncorrelated 
Note: Velocities are given only for stations with a minimum of 2.5 years of data
The reference frame is IGS14 (ITRF2014)
Reference: 
Bock, Y., Moore, A.W., Argus, D. F., Fang, P., Jiang, S., Kedar, S., Knox, S.A. Liu, Z. & Sullivan A. (2021), 
Extended Solid Earth Science ESDR System (ES3): Algorithm Theoretical Basis Document: Chapter 4.2
http://garner.ucsd.edu/pub/measuresESESES_products/ATBD/ESESES-ATBD.pdf (username:anonymous; password: your e-mail address)

Velocity units: mm/yr
Ellipsoid Height units: meters
Lat/Long: decimal degrees

Site Longitude   Latitude   Height      Nvel     Evel     Uvel   Nerr   Eerr   Uerr
00na 130.84398637 -12.46664142  104.850    58.99    36.07     0.15   0.32   0.13   0.67 
019b 139.54765863 39.18556339   45.224   -10.42    17.46     0.71   0.22   0.77   0.25 
01na 130.98204602 -12.47822531  105.392     59.3    35.93    -2.67   0.15   0.15   0.57 
02na 130.88172798 -12.35592435  117.655    59.73    36.09    -1.65    0.2   0.18   0.91 
7odm 242.90680775 34.11640698  762.091     6.08   -27.44     0.47   0.09   0.13   0.24 
ab01 185.79524352 52.20950474   25.463   -23.54    -6.53     1.75   0.22   0.13   0.21 
ab02 191.14532973 52.97060559  192.787   -21.02    -8.28     1.58   0.12    0.1   0.17 
ab04 189.43255681 63.65686471  136.566    -23.8    -0.88     -0.8   0.14   0.13   0.36 
ab06 196.57654628 54.88532291  500.411   -21.99    -7.55     1.19   0.15   0.13    0.2 
ab07 199.52324326 55.34927663   89.574   -16.67   -12.74    -0.45   0.11   0.06   0.14 
ab08 193.79914284 60.38483212   26.515   -26.98     0.76    -0.42   0.46   0.56   0.25 
ab09 191.93787478 65.61498158  162.087   -23.87     -1.2    -0.25   0.12   0.11    0.3 
ab11 194.62654148 64.56449657  349.455   -24.32    -1.85    -0.59   0.25   0.12   0.36 
ab12 198.25373849 58.95079542  587.113   -22.48    -6.64    -0.65   0.68   0.57   1.17 
ab13 201.49620635 56.30732638  487.821    -13.3   -14.66     -0.1   0.24   0.15   0.19 
ab14 200.90846865 59.10816643  657.639   -21.76    -7.04      0.7   0.16   0.16   0.32 
ab15 200.12163876 61.03975319  560.331   -24.16     -3.7    -0.02   0.12   0.13   0.26 
ab17 199.30526894 63.88635956  117.444   -24.76    -3.64    -0.53   0.12   0.17   0.26 
ab18 197.3864928 66.8583637   37.139    -25.4    -4.96    -1.89   0.19   0.41   0.26 
