#lon lat ve vn vu se sn su name
170.59720 -45.88370 -28.70295 -13.07499 -0.59719 0.14886 0.14553 0.17446 dund
170.51090 -45.86950 -28.47456 -12.88562 -0.15721 0.13240 0.15250 0.16175 ousd
174.83439 -36.60280 0.37553 -0.72500 0.01074 0.11895 0.12298 0.14734 auck
174.80590 -41.32348 -23.48236 -7.87472 -1.82290 0.14001 0.12463 0.14393 wgtn
174.66279 -36.43440 0.40417 -0.41258 -0.54949 0.16132 0.17538 0.22650 wark
172.65470 -43.70271 -31.79052 -10.77941 -1.72987 0.12836 0.13071 0.15502 mqzg
169.30825 -45.23100 -27.35418 -13.31345 -0.67798 0.14903 0.13612 0.18035 lexa
174.31460 -35.80380 0.35071 -0.40533 -0.35037 0.13391 0.13793 0.18291 whng
176.26090 -37.72880 1.22903 -1.23612 0.50230 0.16251 0.14780 0.17756 trng
174.11820 -39.18255 -1.30050 -1.20971 -1.18573 0.14775 0.14202 0.22000 nply
174.85410 -38.51300 -0.69751 -0.87186 -1.19664 0.14514 0.14450 0.18503 maho
173.27310 -35.06890 0.21312 -0.14152 -0.63141 0.15673 0.16071 0.21152 ktia
170.98431 -42.71290 -3.74981 -0.72986 -0.69112 0.12524 0.12744 0.15265 hoki
175.10920 -37.80680 -0.53666 -0.92555 -0.65760 0.13861 0.13804 0.17315 hamt
177.01389 -37.98169 3.77878 -12.48094 -0.61736 0.21091 0.18157 0.24194 whkt
174.78160 -41.29040 -21.79684 -6.85264 -2.38295 0.15587 0.14528 0.18045 wgtt
171.80621 -41.74472 -2.72839 -0.84524 -0.11236 0.14752 0.14086 0.17677 west
174.82142 -39.78689 -2.39491 -2.43787 -0.83492 0.20664 0.15711 0.17797 wang
170.92030 -44.65570 -30.05025 -12.98651 -0.51869 0.14562 0.14758 0.17243 waim
173.43371 -41.18350 -4.23435 -0.50387 -2.07309 0.20893 0.14434 0.19008 nlsn
175.58458 -41.06199 -26.19462 -10.86470 -3.34324 0.19180 0.19127 0.26236 mast
172.26631 -42.78339 -21.67621 -9.69840 1.79897 0.15610 0.15427 0.19004 lkta
173.53366 -42.42548 -28.17386 -10.35962 -0.93148 0.15591 0.16908 0.17502 kaik
178.30335 -37.56102 5.09229 -17.71897 0.49207 0.14953 0.14043 0.17817 hikb
168.78555 -44.07320 -12.83594 -4.67293 1.37059 0.15820 0.17490 0.16607 haas
170.62940 -45.81431 -29.33123 -12.29112 -0.94728 0.16347 0.15083 0.19003 dunt
175.74958 -36.86541 1.31154 -0.76805 -0.28889 0.14373 0.13856 0.17312 corm
183.43416 -43.95579 -33.19755 -0.57764 -0.70955 0.17004 0.16731 0.21838 chat
168.29209 -46.58508 -25.87617 -13.90778 -0.56635 0.14592 0.14182 0.16530 bluf
176.08100 -38.74271 3.51131 -5.39268 0.90368 0.18951 0.18928 0.26000 taup
174.76990 -36.84360 1.03643 -0.49806 -0.87892 0.33207 0.30200 0.79000 takl
169.81582 -43.53168 -8.03150 -2.52489 1.21992 0.14350 0.12630 0.19119 quar
175.25479 -41.56921 -32.63281 -9.68618 -3.80259 0.15515 0.15433 0.21446 pali
172.72220 -43.60580 -31.84000 -11.32836 -0.50999 0.20441 0.29248 0.20433 lytt
172.52956 -40.82660 -2.16748 -0.06470 -0.57355 0.15990 0.14879 0.18002 gldb
177.07635 -39.65789 -4.70186 -16.80933 0.87490 0.23535 0.18629 0.22673 ckid
183.38288 -43.73547 -33.89349 -0.79818 -0.91983 0.15924 0.16581 0.20700 chti
174.93290 -41.19640 -20.99825 -6.55602 -1.25307 0.20995 0.17988 0.22597 avln
173.98420 -41.56066 -12.88395 -3.30907 -1.64260 0.23322 0.17833 0.27000 with
177.23440 -39.07720 0.86735 -17.42509 -1.01587 0.22656 0.19716 0.23281 wahu
175.47046 -39.38458 -0.85846 -2.70491 0.06454 0.18691 0.16694 0.21779 vgmt
175.68790 -41.39800 -32.90899 -10.20054 -4.05281 0.15464 0.14914 0.19392 trav
174.28010 -41.19160 -12.35572 -2.52063 -1.09308 0.23350 0.22632 0.40000 tory
175.89050 -41.10660 -27.88671 -11.73931 -2.60319 0.15505 0.15933 0.20943 tema
176.49251 -39.16552 1.14032 -11.23927 0.03424 0.16509 0.17464 0.20016 ripa
176.55626 -37.84589 0.45462 -2.84766 2.36246 0.18896 0.16450 0.23465 rgop
176.72472 -37.91544 1.97751 -5.09695 2.61255 0.18601 0.23010 0.48000 rgmt
177.41540 -38.49556 1.83360 -16.11233 0.32334 0.20698 0.18753 0.23783 rawi
166.68071 -46.16619 -24.16248 -12.23009 2.74315 0.20781 0.21476 0.50000 pygr
178.25740 -38.07140 6.03703 -18.41429 1.30276 0.16092 0.14694 0.19013 puke
176.63520 -40.26640 -13.95226 -14.79587 -1.79429 0.38221 0.18561 0.25000 pora
176.86390 -40.03310 -8.95569 -16.58270 -1.23460 0.40211 0.21702 0.24000 pawa
170.51091 -45.86947 -28.65458 -12.40562 -0.54721 0.13653 0.13288 0.15623 ous2
177.30760 -38.04650 2.91022 -14.48026 -1.15727 0.20777 0.17369 0.22865 optk
174.06030 -41.01930 -7.90215 0.14682 -1.85330 0.36220 0.22256 0.23970 okoh
170.46493 -43.98570 -27.48808 -12.38787 0.00048 0.12564 0.12248 0.16181 mtjo
168.11820 -45.36651 -24.43324 -12.19547 0.12218 0.15913 0.14137 0.19080 mavl
177.90700 -39.15258 -2.55384 -20.06234 0.49423 0.46193 0.22491 0.22575 mahi
176.93670 -39.33230 -0.75413 -16.53387 -2.37553 0.21412 0.17010 0.22021 leyl
175.24060 -40.58880 -9.75958 -3.07108 0.00614 0.60133 0.23731 0.51000 levn
175.42405 -40.40930 -9.62365 -3.24747 -1.06410 0.60133 0.27259 0.65000 koro
177.66780 -39.01610 -1.01664 -21.10062 -1.03596 0.23375 0.16271 0.19209 koko
174.90980 -40.86090 -11.57358 -2.37821 -0.77351 0.36223 0.22404 0.28000 kapt
176.87630 -39.79380 -8.49290 -13.72902 -1.50492 0.24346 0.17129 0.20644 kahu
175.23810 -40.08030 -4.83904 -2.23469 -1.97454 0.44176 0.24583 0.28000 gnbk
177.88601 -38.63532 0.13788 -18.64056 -1.54647 0.29303 0.18603 0.22000 gisb
173.92160 -40.80180 -5.23375 -0.55370 -2.38359 0.26298 0.16193 0.19808 durv
176.16666 -40.29886 -14.61252 -10.04190 -1.98425 0.31264 0.21034 0.22000 dnvk
174.21380 -41.74900 -23.50573 -8.89953 -0.65235 0.17008 0.15930 0.20499 cmbl
176.24610 -40.67980 -25.46191 -10.66638 -3.38375 0.18732 0.16264 0.21775 birf
176.06317 -39.48918 -1.45518 -6.27888 0.21468 0.24223 0.22722 0.30000 bhst
174.77042 -36.84375 0.15682 -0.28766 -0.79892 0.17344 0.17292 0.21404 aukt
176.46120 -40.53980 -24.22471 -12.12641 -3.66393 0.18611 0.16152 0.20650 akto
176.44060 -40.06420 -10.74484 -11.15467 -2.67456 0.34242 0.20038 0.28000 wpuk
176.54300 -39.89589 -9.55883 -11.68190 -3.31478 0.35234 0.16626 0.28000 wpaw
178.40870 -37.82500 6.43712 -20.43877 0.39243 0.38245 0.19631 0.26114 wmat
169.88531 -43.58403 -14.40415 -3.83733 2.06998 0.17330 0.17593 0.32000 waka
175.34641 -39.28927 -0.76023 -2.45859 -0.26559 0.17214 0.16192 0.19770 vgpk
147.05569 -19.26928 0.22188 0.21865 -0.42572 0.13372 0.13682 0.14730 tow2
177.81142 -38.43749 1.26370 -18.36679 0.09326 0.24574 0.19197 0.26214 tkar
175.88569 -40.77601 -24.20137 -10.86760 -3.45362 0.20542 0.18055 0.23132 tint
175.78560 -39.68250 -2.48650 -4.91699 0.30494 0.29268 0.21228 0.27000 thap
178.00589 -38.16241 1.37466 -18.80710 3.50289 0.24236 0.17899 0.24864 tauw
177.34750 -38.77961 1.65364 -17.02076 -0.36627 0.23642 0.18259 0.24781 snst
176.51462 -38.33889 0.77471 -6.75834 -3.31687 0.16688 0.18136 0.28000 rgrr
176.77281 -38.05253 -0.13296 -11.09148 -1.39726 0.18512 0.20955 0.27000 rgkw
175.40432 -41.18691 -29.17425 -10.63526 -2.85308 0.17117 0.16565 0.25117 rdlv
177.67753 -37.96500 2.23420 -15.93556 0.30262 0.24538 0.18671 0.26679 raum
177.08608 -38.91619 2.27888 -16.11945 0.05391 0.19782 0.16858 0.24357 rahi
175.99928 -40.60108 -22.03490 -11.39679 -2.98385 0.26317 0.18532 0.27000 ptoi
177.69789 -38.81420 -0.17989 -17.58336 1.19377 0.41212 0.20801 0.25363 prtu
176.20048 -39.91679 -6.14242 -9.38932 -1.35475 0.52155 0.22051 0.55000 pnui
