#lon lat ve vn vu se sn su name
170.59720 -45.88370 -29.11472 -13.19498 -0.08381 0.23170 0.26602 0.42007 dund
170.51090 -45.86950 -28.87791 -12.93268 -0.79922 0.20946 0.23966 0.39261 ousd
174.83439 -36.60280 0.60013 -0.83323 -0.00020 0.15107 0.15281 0.46654 auck
169.30825 -45.23100 -30.39310 -13.52016 0.26626 0.79602 0.28651 0.25193 lexa
172.65470 -43.70271 -32.70293 -11.70508 -1.36680 0.81926 0.62886 2.65534 mqzg
174.66279 -36.43440 0.51458 -0.67961 -0.29989 0.21776 0.21755 0.33311 wark
174.80590 -41.32348 -23.56664 -7.16405 -1.18296 1.46067 1.18633 0.24094 wgtn
170.98431 -42.71290 -2.89287 -1.54388 1.49073 0.63846 0.22462 0.24078 hoki
173.27310 -35.06890 0.17896 -0.42304 -0.19159 0.20820 0.21460 0.25141 ktia
174.11820 -39.18255 -1.16537 -1.20040 -0.59443 0.19437 0.37402 0.32443 nply
174.31460 -35.80380 0.40959 -0.37911 -0.84477 0.18061 0.17907 0.51176 whng
174.85410 -38.51300 -0.59457 -0.73865 -0.17582 0.17565 0.20310 0.21103 maho
175.10920 -37.80680 -0.21799 -0.93056 0.25658 0.17454 0.19210 0.31296 hamt
176.26090 -37.72880 1.17203 -1.68406 1.11312 0.19179 0.18501 0.32602 trng
168.29209 -46.58508 -27.56789 -14.06680 1.17017 1.16590 0.40406 1.21390 bluf
168.78555 -44.07320 -12.47611 -4.56925 1.87366 0.20773 0.20146 0.17505 haas
170.62940 -45.81431 -28.99029 -12.82170 -0.28209 0.18215 0.18863 0.33960 dunt
170.92030 -44.65570 -30.70527 -13.31814 0.71985 1.81635 0.27733 2.11463 waim
171.80621 -41.74472 -1.95336 -0.84893 0.60271 2.07292 0.89298 0.46170 west
172.26631 -42.78339 -21.60092 -9.59591 1.91652 1.38995 0.28485 0.61562 lkta
173.43371 -41.18350 -6.39677 -0.49354 1.21906 1.84028 0.25336 1.49191 nlsn
173.53366 -42.42548 -28.12084 -10.44639 -0.51224 2.14733 0.90074 0.83332 kaik
174.78160 -41.29040 -21.27796 -5.55627 -1.28394 0.23096 0.20444 0.40967 wgtt
174.82142 -39.78689 -3.45971 -1.64377 0.17607 0.83880 0.76407 0.60065 wang
175.58458 -41.06199 -26.05573 -10.94220 -1.94105 0.18942 0.18786 0.52372 mast
175.74958 -36.86541 1.31397 -0.83502 0.28517 0.19169 0.17139 0.33647 corm
177.01389 -37.98169 4.00780 -12.52676 -0.03891 0.25406 0.21906 0.36450 whkt
178.30335 -37.56102 4.77048 -17.87487 0.50902 0.19787 0.18956 0.42175 hikb
183.43416 -43.95579 -32.95405 -0.40794 0.53674 0.18719 0.19629 0.18191 chat
169.81582 -43.53168 -7.72419 -2.06735 1.68489 0.17919 0.17611 0.57756 quar
