#lon lat ve vn vu se sn su name
174.83439 -36.60280 0.51603 -0.76589 -0.36926 0.14018 0.12646 0.32000 auck
174.66279 -36.43440 0.15097 -0.76483 -1.22949 0.27506 0.25314 0.79000 wark
183.43416 -43.95579 -32.96724 -0.30121 0.12045 0.17004 0.16525 0.42000 chat
174.76990 -36.84360 1.49137 -0.21161 -0.99892 0.52260 0.46172 1.75000 takl
183.38288 -43.73547 -33.45708 -0.55955 -1.66983 0.17942 0.17413 0.45000 chti
147.05569 -19.26928 0.09156 0.25385 -0.59572 0.17039 0.16296 0.44000 tow2
117.09719 -20.98143 -0.25290 0.41372 0.33707 0.15146 0.14354 0.36000 karr
147.43874 -42.80471 0.09278 -0.79246 -0.82100 0.16738 0.15101 0.37000 hob2
133.80983 -31.86666 0.27948 -0.22011 -0.19604 0.13503 0.11780 0.36000 cedu
133.88552 -23.67012 0.25204 0.03588 -0.12861 0.12794 0.10695 0.37000 alic
115.34698 -29.04655 -0.22220 -0.11950 -0.50025 0.16053 0.14062 0.35000 yar2
148.98000 -35.39920 0.01870 -0.05913 -0.70094 0.11851 0.09300 0.27000 tid2
151.15038 -33.78087 0.24905 -0.15059 -0.74325 0.14715 0.12859 0.41000 sydn
116.19272 -31.04873 -0.20913 -0.11887 -0.65725 0.17703 0.14027 0.43000 nnor
144.97534 -37.82941 0.70290 0.44685 -1.24757 0.17524 0.17768 0.33000 mobs
164.28734 -20.55869 0.40325 0.25521 -0.95362 0.26056 0.18481 0.42000 kouc
138.64735 -34.72900 0.19896 -0.03277 -0.68189 0.18389 0.15767 0.50000 ade1
148.26461 -32.99876 0.31075 -1.12905 0.00562 0.24393 0.27402 0.49000 park
166.48489 -22.22832 0.88452 0.36866 -0.13092 0.27968 0.31711 0.56000 nrmd
167.26378 -20.91799 1.35881 1.78032 -0.57303 1.45208 0.46559 1.17000 lpil
132.15328 -14.37600 0.18999 -0.09713 -0.08387 0.23169 0.22797 0.73000 kat1
200.19939 -21.20103 -76.63058 18.59641 -0.58258 0.31857 0.23622 0.76000 ckis
152.32101 -24.90822 0.04875 -0.37141 -0.88665 0.27507 0.36421 0.78000 bndy
184.82078 -21.14471 74.51295 -38.47772 -0.56267 0.59420 0.32248 0.76000 tong
153.03530 -27.48489 -0.08746 0.26475 -1.78264 0.32389 0.36358 1.23000 sunm
190.07293 -19.07653 -78.55939 8.86165 -1.18604 0.34144 0.23740 0.67000 nium
116.63749 -26.69664 -2.92728 1.49218 6.90614 2.38112 2.08061 6.75000 mro1
132.89422 -12.65950 -0.15709 -0.44101 -3.02677 0.34912 0.37598 1.09000 jab2
151.23187 -33.91776 1.82029 -0.94825 7.50694 1.20086 1.56068 5.16000 unx3
210.38570 -17.55531 -83.21950 28.32005 -1.27855 0.34134 0.24628 0.55000 tahm
149.01005 -35.31553 0.29825 0.00345 -0.19106 0.11851 0.09297 0.33000 strm
166.41020 -22.26984 0.53244 -0.03064 -1.37086 0.34769 0.22986 0.67000 noum
250.61671 -27.14821 57.30044 28.50932 -0.63316 0.60104 0.50102 0.64000 ispa
